t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
2,warmup_CV,0,95.35,512.00,29.22,36.17,291.09,0.00
111,warmup_CV,0,95.49,512.00,55.80,62.86,321.54,246.00
219,warmup_CV,0,95.59,512.00,72.48,79.65,340.63,324.76
327,warmup_CV,0,95.82,512.00,88.27,96.30,349.00,353.90
433,warmup_CV,0,95.90,512.00,68.65,76.74,335.20,215.41
540,warmup_CV,0,96.56,512.00,64.73,72.84,332.79,216.12
648,warmup_CV,0,97.04,512.00,53.90,61.62,317.65,211.67
756,warmup_CV,0,97.12,512.00,83.76,91.84,358.72,401.68
860,warmup_CV,0,97.44,512.00,99.70,107.99,366.49,430.12
965,warmup_CV,0,95.22,512.00,62.82,71.74,326.62,267.51
1068,warmup_CV,0,95.74,512.00,95.45,103.98,361.30,444.82
1170,warmup_CV,0,96.43,512.00,65.00,73.68,318.04,167.53
1272,warmup_CV,0,96.69,512.00,94.62,103.39,359.34,332.46
1378,warmup_CV,0,96.77,512.00,95.19,104.02,359.78,217.82
1488,warmup_CV,0,97.50,512.00,94.54,103.26,358.04,163.46
1591,warmup_CV,0,97.93,512.00,105.98,114.58,369.75,154.68
1693,warmup_CV,0,98.01,512.00,110.23,118.84,367.57,118.21
1794,warmup_CV,0,98.12,512.00,106.60,115.21,371.16,108.18
1899,CV,1,98.84,512.00,98.54,106.87,363.24,133.89
2001,CV,1,98.95,512.00,113.77,122.26,385.54,265.00
2116,CV,1,95.29,512.00,125.64,134.18,401.48,261.08
2223,CV,2,96.10,512.00,87.38,96.70,357.13,354.72
2326,CV,2,96.40,512.00,115.09,124.23,382.80,377.70
2429,CV,3,97.16,512.00,118.30,127.37,390.13,329.56
2531,CV,4,98.26,512.00,121.92,130.71,383.34,342.60
2633,CV,4,98.52,512.00,152.91,161.55,415.75,323.20
2736,CV,5,99.24,512.00,159.49,168.11,432.55,352.46
2838,CV,5,99.50,512.00,179.92,188.32,444.09,362.54
2945,CV,5,95.94,512.00,83.85,92.45,354.98,362.92
3048,CV,6,96.45,512.00,87.50,96.95,356.93,378.12
3152,CV,7,97.37,512.00,96.38,105.30,355.99,355.49
3254,CV,7,97.62,512.00,126.01,135.05,394.86,383.28
3358,CV,8,98.32,512.00,141.51,150.48,405.07,326.37
3463,CV,8,98.71,512.00,161.13,169.96,434.45,440.42
3564,CV,9,99.79,512.00,180.02,188.57,443.84,365.11
3666,CV,10,96.10,512.00,87.02,85.27,347.59,410.59
3768,CV,10,96.35,512.00,111.28,120.05,380.44,432.73
3870,CV,11,97.14,512.00,114.56,123.72,381.83,295.25
3971,CV,11,97.44,512.00,142.24,151.25,414.73,412.43
4075,CV,12,98.42,512.00,153.26,162.20,427.01,337.55
4180,CV,13,99.32,512.00,150.54,158.86,417.38,313.56
4285,CV,13,99.58,512.00,172.98,181.15,447.77,324.42
4389,CV,13,95.44,512.00,169.54,178.01,431.89,278.35
4493,CV,14,96.22,512.00,80.14,89.37,343.13,212.03
4605,CV,14,96.60,512.00,87.63,96.95,352.86,196.53
4722,CV,14,96.86,512.00,99.19,108.27,364.37,214.71
4826,CV,15,97.62,512.00,96.59,105.32,365.30,297.95
4930,CV,15,97.69,512.00,114.67,123.72,386.97,305.45
5034,CV,15,98.03,512.00,130.46,139.29,402.68,357.39
5138,CV,16,98.98,512.00,136.87,145.65,408.54,259.91
5242,CV,16,99.30,512.00,153.27,161.80,423.59,364.20
5349,CV,17,100.05,512.00,150.73,158.89,415.46,299.81
5453,CV,17,100.09,512.00,180.57,188.96,455.41,365.92
5558,CV,17,95.75,512.00,88.97,97.47,351.76,400.70
5669,CV,18,96.59,512.00,87.71,97.20,355.77,321.94
5774,CV,18,96.85,512.00,111.21,120.30,381.47,332.85
5882,CV,19,97.59,512.00,94.64,103.89,368.66,167.46
5985,CV,19,97.66,512.00,114.76,123.97,385.86,233.79
6087,CV,19,98.22,512.00,138.40,147.06,402.84,304.27
6189,CV,20,98.98,512.00,141.29,150.24,414.17,274.52
6292,CV,20,99.06,512.00,153.48,162.44,424.29,368.88
6400,CV,20,99.35,512.00,165.44,173.82,433.70,284.64
6505,CV,21,100.02,512.00,137.55,146.23,410.28,163.02
6610,CV,21,100.45,512.00,168.86,177.50,431.66,285.71
6714,CV,21,100.68,512.00,180.36,188.82,451.49,412.47
6819,CV,22,96.24,512.00,69.68,78.78,322.11,323.58
6922,CV,22,96.47,512.00,96.04,105.01,364.43,379.08
7024,CV,23,97.30,512.00,96.70,105.55,354.55,400.16
7129,CV,23,97.86,512.00,126.34,135.30,387.73,392.42
7232,CV,24,98.54,512.00,134.43,143.15,402.80,405.35
7337,CV,24,98.87,512.00,153.34,162.05,425.02,460.53
7439,CV,25,99.66,512.00,168.89,177.75,432.91,352.90
7542,CV,25,99.91,512.00,180.72,189.43,452.80,531.19
7644,CV,26,96.53,512.00,81.61,91.50,349.11,352.21
7748,CV,26,96.82,512.00,88.01,97.70,357.17,491.81
7850,CV,27,97.61,512.00,114.88,124.47,382.12,374.01
