t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
2,warmup_CV,0,96.21,512.00,29.41,36.17,286.18,0.00
117,warmup_CV,0,96.44,512.00,49.11,56.50,315.55,408.76
225,warmup_CV,0,96.57,512.00,64.68,72.09,326.79,360.35
328,warmup_CV,0,97.29,512.00,64.73,72.09,332.37,202.50
435,warmup_CV,0,97.48,512.00,99.46,106.74,366.32,386.39
537,warmup_CV,0,98.06,512.00,75.93,83.28,346.26,224.51
645,warmup_CV,0,98.50,512.00,83.27,90.82,354.55,342.74
751,warmup_CV,0,99.19,512.00,85.57,93.38,343.38,282.69
853,warmup_CV,0,99.30,512.00,102.29,110.07,364.39,206.64
954,warmup_CV,0,92.48,512.00,71.80,79.88,334.62,324.17
1057,warmup_CV,0,93.41,512.00,51.76,59.80,314.37,205.34
1160,CV,1,93.88,512.00,102.57,110.55,372.38,350.17
1263,CV,2,94.34,512.00,137.40,145.36,403.42,356.15
1368,CV,3,95.06,512.00,136.78,144.60,407.38,306.38
1473,CV,4,95.85,512.00,163.59,171.37,429.34,305.93
1578,CV,5,92.55,512.00,79.97,87.87,342.59,332.30
1679,CV,6,93.32,512.00,114.22,122.22,374.06,354.69
1781,CV,7,94.08,512.00,141.03,148.98,408.26,325.46
1882,CV,8,94.83,512.00,183.39,191.32,443.09,353.81
1989,CV,9,92.57,512.00,102.99,111.03,371.61,357.81
2091,CV,10,93.62,512.00,141.75,149.75,408.38,323.58
2194,CV,11,94.33,512.00,168.32,176.27,438.76,337.21
2296,CV,12,92.48,512.00,60.11,68.09,322.11,344.69
2397,CV,14,93.34,512.00,96.26,103.83,360.01,325.61
2499,CV,15,94.06,512.00,133.78,141.40,402.92,362.50
2604,CV,16,95.08,512.00,168.03,175.75,431.51,354.82
2708,CV,17,92.61,512.00,87.60,95.45,353.58,392.52
2811,CV,18,93.39,512.00,129.96,138.04,399.50,331.20
2915,CV,19,94.10,512.00,168.46,176.52,438.73,296.24
3017,CV,20,92.51,512.00,60.26,68.34,322.54,374.09
3119,CV,22,93.61,512.00,96.07,104.05,353.25,303.49
3221,CV,23,94.37,512.00,123.20,130.82,388.38,286.18
3323,CV,24,95.15,512.00,160.73,168.42,431.57,350.08
3428,CV,25,92.62,512.00,89.67,97.96,353.47,345.43
3529,CV,26,93.69,512.00,114.55,122.72,377.43,344.95
3630,CV,27,94.44,512.00,141.36,149.48,410.99,384.45
3732,CV,28,95.22,512.00,183.72,191.82,451.64,333.82
3834,CV,29,92.67,512.00,115.24,123.48,380.35,352.81
3936,CV,30,94.05,512.00,134.07,142.20,403.22,314.07
4039,CV,32,95.12,512.00,149.99,157.95,414.12,319.78
4141,CV,33,92.65,512.00,69.63,77.69,330.88,353.40
4243,CV,34,93.44,512.00,102.94,111.29,373.60,325.20
4345,CV,35,94.19,512.00,141.48,149.73,403.01,353.35
4449,CV,36,94.97,512.00,168.32,176.50,437.15,365.79
4552,CV,37,92.97,512.00,87.95,96.20,349.70,279.47
4654,CV,38,93.79,512.00,114.76,122.97,382.16,384.61
4756,CV,39,94.53,512.00,169.04,177.26,439.61,389.33
4860,CV,40,92.46,512.00,80.82,88.91,343.82,368.14
4963,CV,42,93.49,512.00,96.70,104.55,357.11,328.45
5067,CV,43,94.51,512.00,123.37,131.32,392.32,337.78
