t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,0.96,1.54,4096.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
111.5,1,0,0.97,1.54,4096.00,0.00,0.00,11.44,0.1144,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
298.4,1,0,0.97,1.54,4096.00,0.00,0.00,86.85,0.8685,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
491.7,1,0,0.97,1.54,4096.00,0.00,0.00,93.37,0.9337,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
691.9,1,1,43.34,44.10,4096.00,0.00,0.00,100.12,1.0012,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
887.2,1,2,85.70,86.41,4096.00,122.38,0.00,95.31,0.9531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
992.0,1,2,85.70,86.41,4096.00,122.38,0.00,4.85,0.0485,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1096.3,1,2,85.70,86.41,4096.00,122.38,0.00,4.30,0.0430,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1202.4,1,2,85.70,86.41,4096.00,122.38,0.00,6.10,0.0610,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1312.4,1,2,85.71,86.66,4096.00,0.00,0.00,10.05,0.1005,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1511.3,1,3,128.07,128.97,4096.00,0.00,0.00,98.86,0.9886,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1707.9,1,4,170.43,171.28,4096.00,122.38,0.00,96.61,0.9661,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1880.5,1,4,170.43,171.28,4096.00,122.38,0.00,72.60,0.7260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
1990.6,1,4,170.44,171.28,4096.00,122.38,0.00,10.06,0.1006,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
2095.6,1,4,170.44,171.28,4096.00,0.00,0.00,5.05,0.0505,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:19:38.330Z,"batch-detect cv PC_gaming n=179"
