t_ms,cpu_pct,ram_mb
1007.0,1.60,95.31
2007.6,34.40,217.80
3008.0,168.70,505.23
4008.3,64.00,519.73
5008.6,64.00,626.39
6008.9,54.70,711.68
7009.6,50.00,796.83
8010.0,62.50,904.29
9010.3,67.20,481.53
10011.0,62.50,597.26
11011.5,64.00,685.71
12011.8,67.20,770.52
13024.3,55.60,875.29
14024.7,50.00,960.16
15025.3,54.70,451.45
16025.5,65.60,558.63
17026.1,68.70,645.60
18026.3,65.60,772.76
19026.5,64.10,857.60
20027.1,59.30,962.56
21027.5,51.50,1047.55
22027.7,56.20,455.07
23027.8,53.10,560.53
24028.3,68.70,697.65
25028.7,64.00,829.41
26029.1,65.60,958.50
27034.8,65.30,1056.02
28035.2,59.40,1167.25
29035.3,54.70,475.80
30035.6,57.80,573.56
31035.9,57.80,688.80
32036.5,59.30,803.93
33036.7,64.00,901.96
34037.2,60.90,1030.64
35037.5,59.40,1145.66
36038.1,59.30,1244.32
37038.3,62.50,478.77
38038.5,54.70,576.05
39039.0,53.10,673.20
40039.3,56.20,787.54
41040.2,60.90,902.41
42040.6,65.60,999.83
43040.9,60.90,1146.25
44041.4,65.60,1244.15
45041.6,68.70,529.15
46042.1,56.20,627.03
47043.2,56.20,724.93
48043.7,53.10,840.52
49044.4,62.50,956.07
50044.7,60.90,1054.24
51044.9,54.70,1202.10
52045.1,64.10,469.40
53045.5,59.30,551.24
54045.6,60.90,662.68
55045.7,51.60,760.73
56046.3,60.90,858.61
57046.6,62.50,973.15
58046.8,64.10,1089.14
59047.0,62.50,1187.25
60047.4,73.40,484.30
61048.0,62.50,643.89
62048.2,64.00,741.23
63048.3,64.10,854.52
64048.6,54.70,953.73
65048.7,53.10,1053.80
66049.1,56.20,1171.33
67051.4,62.40,1290.82
68051.8,64.00,544.88
69052.2,65.60,644.86
70052.4,59.40,792.70
71052.9,65.60,892.78
72053.4,65.60,992.73
73053.6,54.70,1105.58
74053.9,51.50,1205.68
75054.3,51.50,1305.49
76054.8,67.20,595.06
77055.1,65.60,694.01
78055.6,64.00,825.30
79055.9,60.90,942.49
80056.6,60.90,1042.82
81057.0,67.20,1155.93
82057.2,56.20,1256.27
83066.0,29.40,1309.81
