t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,1.94,2.81,4096.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
110.1,1,0,1.95,2.81,4096.00,0.00,0.00,10.02,0.1002,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
299.3,1,1,43.58,45.10,4096.00,0.00,122.38,89.18,0.8918,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
455.7,1,1,43.58,45.10,4096.00,0.00,122.38,56.44,0.5644,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
558.4,1,1,43.58,45.10,4096.00,0.00,122.38,2.74,0.0274,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
673.9,1,1,43.58,45.10,4096.00,0.00,122.38,15.49,0.1549,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
786.7,1,1,43.58,45.10,4096.00,0.00,0.00,12.80,0.1280,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
985.6,1,2,85.88,87.41,4096.00,0.00,122.38,98.87,0.9887,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1109.1,1,2,85.88,87.41,4096.00,0.00,0.00,23.53,0.2353,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1300.4,1,3,85.89,86.91,4096.00,0.00,122.38,91.25,0.9125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1402.5,1,3,85.89,86.91,4096.00,0.00,122.38,2.08,0.0208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1505.6,1,3,85.89,86.91,4096.00,0.00,122.38,3.16,0.0316,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1607.3,1,3,85.90,86.91,4096.00,0.00,122.38,1.67,0.0167,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1730.8,1,3,85.90,86.91,4096.00,0.00,0.00,23.49,0.2349,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
1925.7,1,4,85.89,87.16,4096.00,0.00,122.38,94.92,0.9492,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
2044.8,1,4,85.89,87.16,4096.00,0.00,0.00,19.07,0.1907,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
2236.3,1,5,85.89,86.91,4096.00,0.00,122.38,91.56,0.9156,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
2337.8,1,5,85.89,86.91,4096.00,0.00,122.38,1.42,0.0142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:21:24.669Z,"batch-detect yolo PC_gaming n=179"
