t_ms,cpu_pct,ram_mb
1006.6,7.80,446.87
2007.2,29.70,554.98
3007.9,21.90,677.96
4008.6,71.80,754.68
5009.1,71.80,726.54
6009.5,70.30,726.89
7009.7,54.70,727.61
8010.1,57.80,725.55
9010.4,54.70,788.55
10010.5,53.10,777.45
11010.9,57.80,755.27
12011.2,51.50,752.60
13011.5,65.60,775.44
14012.3,54.60,753.39
15012.9,53.10,776.01
16013.3,54.70,802.05
17013.5,62.50,735.20
18014.4,64.00,802.60
19014.9,65.60,758.48
20015.0,62.50,708.06
21015.4,59.40,747.24
22015.6,53.10,703.75
23016.5,56.20,748.88
24016.6,62.50,704.27
25016.7,56.20,701.04
26017.0,60.90,736.36
27017.5,53.10,781.59
28017.6,53.10,833.24
29018.0,50.00,869.42
30018.4,70.30,802.04
31019.2,56.20,809.64
32019.6,56.20,797.78
33023.3,49.80,837.81
34023.9,54.70,804.14
35024.2,56.20,834.26
36024.4,51.50,833.25
37024.7,57.80,870.34
38024.9,53.10,775.34
39025.1,56.20,793.25
40028.2,53.00,760.63
41028.5,64.00,837.50
42028.8,76.50,767.53
43028.9,46.90,843.92
44029.2,46.90,868.84
45029.6,48.40,839.24
46029.8,50.00,837.55
47030.0,56.20,870.88
48030.2,51.60,925.46
49030.8,50.00,866.28
50031.4,50.00,907.08
51032.1,59.30,838.45
52032.3,50.00,874.27
53032.9,53.10,842.56
54033.4,60.90,799.67
55033.5,54.70,853.07
56034.0,53.10,850.53
57034.6,56.20,849.12
58035.0,67.20,777.32
59035.2,56.20,819.30
60035.3,54.70,783.53
61035.9,62.50,819.45
62036.0,64.10,818.02
63036.1,54.70,818.99
64036.7,53.10,849.83
65036.9,46.90,927.07
66037.2,54.70,821.29
67037.6,51.50,856.65
68038.1,57.80,892.38
69038.3,57.80,856.85
70038.8,56.20,927.52
71039.4,51.50,899.82
72039.7,53.10,898.93
73039.8,57.80,817.80
74039.9,60.90,855.61
75040.3,56.20,893.19
76040.5,65.60,817.57
77040.9,54.70,855.89
78041.1,67.20,893.46
79041.4,60.90,818.55
80041.5,48.40,891.73
81042.1,54.70,818.05
82042.3,56.20,938.32
83047.9,60.60,838.29
84048.0,56.20,891.73
85048.3,67.20,818.40
86049.0,62.50,899.88
87049.7,54.70,937.56
88050.2,45.30,923.60
89050.7,51.50,900.38
90050.9,60.90,924.79
91051.5,54.70,984.18
92052.1,51.50,909.33
93052.3,56.20,974.46
94052.4,50.00,864.11
95052.7,65.60,876.47
