t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,0.96,1.54,4096.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
115.1,1,0,0.97,1.54,4096.00,17.06,0.00,14.97,0.1497,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
218.6,1,0,0.97,1.54,4096.00,17.06,0.00,3.45,0.0345,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
326.1,1,0,0.97,1.54,4096.00,17.06,0.00,7.54,0.0754,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
429.2,1,0,0.98,1.54,4096.00,0.00,0.00,3.10,0.0310,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
627.5,1,0,0.98,1.54,4096.00,0.00,0.00,98.24,0.9824,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
838.6,1,0,0.98,1.54,4096.00,0.00,0.00,111.10,1.1110,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1049.7,1,1,43.34,44.10,4096.00,122.38,0.00,111.07,1.1107,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1225.0,1,1,43.35,44.10,4096.00,0.00,0.00,75.34,0.7534,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1429.5,1,1,43.35,44.60,4096.00,0.00,0.00,104.51,1.0451,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1620.0,1,2,85.72,86.91,4096.00,122.38,0.00,90.52,0.9052,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1726.9,1,2,85.72,86.91,4096.00,122.38,0.00,6.84,0.0684,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1837.4,1,2,85.72,86.91,4096.00,122.38,0.00,10.58,0.1058,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
1960.2,1,2,85.72,86.91,4096.00,0.00,0.00,22.74,0.2274,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
2152.4,1,2,85.72,86.91,4096.00,0.00,0.00,92.22,0.9222,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
2346.2,1,3,128.08,129.22,4096.00,122.38,0.00,93.76,0.9376,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
2479.5,1,3,128.08,129.22,4096.00,0.00,0.00,33.31,0.3331,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:34:21.404Z,"batch-detect cv acer_nitro5 n=179"
