t_ms,cpu_pct,ram_mb
1010.7,7.80,182.34
2011.5,126.50,379.73
3012.3,204.60,449.30
4012.9,67.10,655.86
5013.7,87.40,645.67
6014.1,76.50,688.44
7014.9,67.10,773.33
8015.5,67.10,816.11
9016.4,68.70,878.62
10017.5,92.10,963.53
11018.1,62.50,521.30
12018.7,67.10,563.81
13019.1,65.60,648.68
14019.8,78.10,711.09
15020.2,87.50,774.00
16020.7,68.70,858.82
17021.1,68.70,899.27
18022.0,85.80,959.98
19022.4,85.90,1024.89
20023.0,67.10,1103.57
21023.5,64.00,559.46
22024.0,95.30,614.64
23024.9,73.40,681.18
24025.8,65.60,745.15
25026.6,68.70,804.81
26027.1,84.30,867.25
27027.3,90.60,943.28
28027.9,62.50,1017.03
29028.4,68.70,1087.18
30028.9,65.60,1144.51
31029.8,78.10,529.33
32030.3,82.80,595.11
33030.8,73.40,670.25
34031.1,75.00,763.10
35031.7,65.60,895.17
36032.1,73.40,957.73
37032.8,84.30,1041.93
38033.4,67.10,1140.05
39033.9,73.40,543.83
40034.4,65.60,593.07
41035.0,84.30,557.54
42035.5,78.10,593.00
43035.9,67.20,593.12
44036.2,67.20,592.71
45036.6,70.30,592.82
46037.2,85.90,558.21
47038.1,87.40,593.01
48038.6,62.50,593.17
49039.1,68.70,593.39
50039.7,70.30,593.52
51040.1,81.20,558.54
52040.7,89.00,594.26
53041.2,59.30,594.41
54042.0,70.30,594.41
55042.4,62.50,594.48
56042.6,71.90,559.35
57043.1,92.20,559.47
58043.3,67.20,594.48
59043.6,79.70,577.16
60044.3,68.70,594.71
61045.2,73.40,559.71
62046.3,90.50,560.34
63047.2,70.30,595.78
64048.0,65.60,596.48
65048.7,68.70,596.80
66049.5,65.60,596.95
67050.5,89.00,561.41
68051.1,81.20,596.94
69051.9,68.70,597.10
70052.6,67.10,597.11
71053.1,65.60,597.66
72053.9,85.90,562.33
73054.5,84.30,598.30
74055.1,62.50,598.47
75055.7,67.10,598.43
76056.4,65.60,598.39
77057.1,79.60,562.55
78057.5,82.80,597.44
79058.2,65.60,597.52
80058.9,79.60,579.77
81059.4,65.60,597.77
82060.3,74.90,562.18
83061.5,87.40,562.40
84062.1,68.70,598.21
85062.7,67.20,621.41
86063.2,64.00,659.34
87063.9,79.60,621.77
88064.5,84.30,659.39
89064.9,75.00,659.43
90065.2,67.20,659.46
91065.6,84.30,622.05
92066.1,82.80,654.12
93066.6,65.60,656.67
94067.2,70.30,657.36
95068.2,73.40,620.00
96068.7,92.10,693.95
97069.6,70.20,658.04
98070.4,78.10,697.46
99070.9,70.30,658.30
100071.2,71.90,620.80
101071.7,115.60,620.71
102072.3,67.20,658.46
103072.9,70.30,639.79
104073.4,67.20,658.68
105073.7,68.70,621.16
106074.0,96.80,621.18
107074.9,70.30,658.80
108075.3,65.60,658.86
109076.0,68.70,656.79
110076.8,82.70,619.36
111077.5,82.80,656.97
112078.2,79.60,657.11
113078.6,70.30,657.62
114079.3,65.60,657.56
115080.1,87.40,620.07
116080.9,43.70,622.86
117082.0,0.00,622.86
