t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,86.31,88.16,4096.00,121.81,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
113.2,1,0,86.32,88.16,4096.00,0.00,0.00,13.01,0.1301,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
312.1,1,1,86.37,88.41,4096.00,121.81,0.00,98.90,0.9890,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
494.6,1,1,86.31,87.41,4096.00,0.00,0.00,82.56,0.8256,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
680.4,1,1,86.31,87.41,4096.00,0.00,0.00,85.78,0.8578,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
863.5,1,2,86.31,87.66,4096.00,0.00,0.00,83.12,0.8312,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
1073.0,1,2,86.31,87.66,4096.00,0.00,0.00,109.44,1.0944,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
1261.5,1,3,86.32,87.41,4096.00,121.81,0.00,88.48,0.8848,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
1363.7,1,3,86.33,87.41,4096.00,0.00,0.00,2.20,0.0220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
1556.4,1,3,86.33,87.41,4096.00,0.00,0.00,92.71,0.9271,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
1744.8,1,4,86.34,88.41,4096.00,0.00,0.00,88.45,0.8845,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
1932.3,1,4,86.34,88.41,4096.00,0.00,0.00,87.52,0.8752,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
2114.6,1,5,86.34,87.66,4096.00,0.00,0.00,82.20,0.8220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
2300.2,1,5,86.34,87.66,4096.00,0.00,0.00,85.68,0.8568,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
2491.1,1,6,86.34,87.66,4096.00,0.00,0.00,90.92,0.9092,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
2674.9,1,6,86.34,87.66,4096.00,0.00,0.00,83.77,0.8377,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:44:05.726Z,"batch-detect cv acer_nitro5 n=179"
