t_ms,cpu_pct,ram_mb
1012.0,29.60,897.16
2012.8,171.60,1247.39
3014.5,207.60,1039.11
4015.4,174.80,1177.61
5015.7,199.90,1253.62
6016.0,178.10,951.47
7016.9,165.50,930.05
8017.5,173.30,1063.07
9017.8,189.00,1164.39
10018.4,203.00,1296.40
11019.1,181.10,1009.36
12019.7,164.00,896.24
13020.4,173.30,1021.19
14020.8,207.70,1148.97
15026.2,161.30,1271.60
16029.0,206.10,766.93
17029.8,203.00,917.86
18030.6,187.40,1061.06
19031.2,187.40,1302.43
20031.8,170.20,1431.47
21032.4,176.40,850.21
22032.7,190.60,1027.79
23033.5,157.70,1189.92
24034.1,187.40,1335.74
25034.6,173.30,1483.20
26035.1,167.10,897.41
27035.7,190.50,1042.11
28036.0,160.90,1226.75
29036.8,206.10,1382.70
30037.3,174.90,1528.11
31037.8,179.60,945.15
32038.3,168.70,1091.82
33039.0,215.50,1238.44
34039.5,212.40,1402.98
35040.0,178.00,1535.18
36040.7,187.40,977.41
37041.5,151.50,1142.82
38041.7,184.30,1290.79
39042.1,168.70,1438.36
40042.5,198.40,852.43
41049.7,180.00,997.43
42051.2,212.20,1177.84
43051.7,162.40,1340.75
44052.3,162.40,1487.86
45053.0,176.40,925.21
46053.4,193.70,1042.21
47054.1,162.40,1192.20
48054.7,167.10,1342.37
49055.2,168.70,1493.64
50055.6,206.20,1645.24
51056.4,179.50,954.88
52058.7,159.00,1098.08
53059.0,157.80,1247.82
54059.7,181.10,1397.80
55060.4,182.70,1548.02
56061.1,182.70,1396.03
57062.1,168.60,999.70
58068.5,155.30,1149.51
59069.0,146.80,1299.36
60069.7,176.40,1449.30
61070.3,176.40,1597.82
62070.8,206.20,914.64
