t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,1.34,2.31,4096.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
105.3,1,0,1.35,2.31,4096.00,0.00,17.06,5.15,0.0515,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
213.6,1,0,1.35,2.31,4096.00,0.00,17.06,8.29,0.0829,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
332.8,1,0,1.35,2.31,4096.00,0.00,0.00,19.20,0.1920,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
538.5,1,0,1.35,2.31,4096.00,0.00,0.00,105.71,1.0571,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
726.9,1,1,43.60,44.85,4096.00,0.00,122.38,88.40,0.8840,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
845.7,1,1,43.60,44.85,4096.00,0.00,122.38,18.81,0.1881,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
954.4,1,1,43.60,44.85,4096.00,0.00,122.38,8.65,0.0865,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
1064.1,1,1,43.60,44.85,4096.00,0.00,0.00,9.74,0.0974,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
1297.8,1,1,43.61,44.85,4096.00,0.00,0.00,133.72,1.3372,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T03:36:40.977Z,"batch-detect yolo acer_nitro5 n=179"
