t_ms,cpu_pct,ram_mb
1012.2,62.40,692.33
2012.9,59.30,840.68
3013.7,82.80,870.36
4014.3,82.80,870.80
5014.9,65.60,871.09
6015.4,78.10,893.50
7016.1,78.10,871.42
8016.8,65.60,893.90
9017.2,90.60,916.42
10017.8,82.80,894.27
11018.1,79.70,894.16
12018.7,62.50,871.82
13019.2,84.30,872.40
14025.9,66.70,872.50
15027.0,73.40,872.80
16028.0,74.90,895.34
17028.6,68.70,880.23
18029.1,89.00,835.84
19029.5,75.00,903.20
20030.0,89.00,885.24
21030.5,78.10,862.96
22031.2,79.60,907.78
23031.8,71.80,863.65
24032.6,89.00,863.66
25033.3,78.10,863.77
26033.9,70.30,863.76
27034.2,73.40,886.23
28034.7,65.60,908.71
29035.0,79.70,896.93
30035.5,62.50,908.93
31035.8,82.80,908.98
32036.5,64.00,864.43
33037.1,87.40,909.22
34037.6,71.80,841.14
35038.3,73.40,885.72
36038.9,81.20,903.38
37039.3,68.70,1009.58
38039.9,78.10,1024.98
39040.5,70.30,906.62
40041.3,73.40,905.13
41042.0,85.90,940.38
42042.6,65.60,906.96
43043.2,73.40,1014.89
44043.8,85.70,1010.41
45046.7,62.50,986.07
46047.2,82.80,909.30
47047.9,53.10,908.68
48048.3,79.70,943.07
49049.1,64.00,907.75
50049.5,71.90,1014.23
51050.0,93.70,884.80
52050.4,60.90,944.17
53050.9,79.60,1028.10
54051.8,73.40,924.26
55052.2,79.70,959.14
56052.6,75.00,959.32
57053.4,67.10,959.40
58053.7,85.90,981.73
59054.2,59.30,1019.92
60054.8,92.10,891.43
61055.4,73.40,950.21
62055.7,79.70,948.82
63056.1,60.90,979.93
64056.6,76.50,945.32
65057.6,65.60,980.09
66058.2,78.10,1015.72
67058.6,70.30,911.29
68059.3,79.60,945.78
69060.2,78.00,983.61
70061.1,67.10,913.03
71061.4,85.90,889.89
72062.0,73.40,946.82
73062.8,79.60,1032.86
74063.1,67.20,913.20
75063.5,89.00,911.80
76063.9,62.50,913.41
77064.5,85.90,912.32
78065.2,84.30,914.44
79065.5,98.40,914.63
80066.0,65.60,913.18
81066.6,79.60,913.12
82067.7,70.20,913.15
83068.4,73.40,948.96
84069.0,68.70,985.82
85069.7,71.80,1021.17
86070.1,92.10,914.89
87070.7,54.70,949.29
88071.3,82.80,950.03
89071.9,75.00,985.66
90072.2,65.60,950.10
91072.8,81.20,950.43
92073.9,70.20,1026.44
93074.3,84.30,994.56
94074.8,87.50,994.86
95075.6,70.30,1032.66
96076.1,70.30,995.09
97076.4,82.80,995.10
98077.1,60.90,957.69
99077.7,73.40,993.67
100077.9,90.60,1032.24
101078.5,68.70,1069.88
102078.9,71.80,957.65
103079.5,79.60,1070.25
104080.1,87.50,1070.31
105080.4,79.70,957.99
106080.7,75.00,995.52
107081.4,68.70,1033.12
108081.9,89.00,933.15
109082.7,59.30,958.31
110083.4,79.60,1070.96
111084.2,85.90,958.62
112084.8,65.60,996.14
113085.4,79.60,1070.77
114086.1,71.80,958.70
115086.7,67.20,986.23
116087.2,92.10,952.86
117087.9,60.90,1011.12
118088.3,84.30,1011.88
119089.1,70.20,979.19
120090.5,90.50,1016.82
121090.9,79.70,1039.39
122091.4,65.60,1017.39
123091.9,89.00,1017.51
124092.7,67.10,980.69
125093.1,78.10,1015.29
126093.6,76.50,1059.87
127094.2,45.30,1016.99
128095.0,1.60,1016.78
129095.6,0.00,1016.78
