t_ms,cpu_pct,ram_mb
1012.1,0.00,144.49
2012.7,9.40,160.67
3024.3,129.70,352.14
4024.9,246.70,348.42
5025.5,1.60,348.49
6025.9,4.70,373.11
7026.7,117.10,523.82
8027.2,34.40,405.72
9027.7,79.60,547.84
10028.0,32.80,595.43
11028.5,70.30,638.37
12029.1,46.90,681.42
13029.7,67.10,726.26
14030.3,51.50,811.85
15030.9,39.00,854.94
16031.5,39.00,898.32
17032.0,60.90,941.48
18032.7,25.00,985.10
19033.1,64.00,1028.00
20033.9,40.60,563.28
21034.5,54.70,606.33
22035.2,35.90,649.04
23035.6,65.60,691.62
24036.2,40.60,734.46
25036.6,51.50,777.11
26037.3,32.80,819.47
27037.6,57.80,861.81
28038.1,34.40,904.19
29038.6,62.50,946.59
30039.1,31.20,989.05
31039.8,64.00,565.62
32040.5,32.80,565.20
33041.1,54.70,565.02
34041.8,23.40,565.47
35042.2,75.00,601.54
36043.0,35.90,565.59
37043.7,54.70,529.39
38043.9,46.90,533.69
39044.5,43.70,522.66
40045.2,51.50,534.03
41045.5,28.10,522.99
42046.2,56.20,559.69
43047.0,26.50,523.09
44047.7,48.40,545.33
45048.4,46.80,547.05
46049.1,42.20,547.22
47050.0,45.30,547.74
48050.8,54.60,547.77
49051.2,46.90,548.30
50051.7,37.50,548.36
51052.2,53.10,548.45
52053.1,35.90,548.48
53054.5,57.70,548.58
54055.3,54.60,548.74
55055.8,43.70,549.21
56056.5,42.20,549.32
57056.7,34.40,547.34
58057.3,54.70,549.33
59057.8,26.50,600.61
60058.2,68.70,631.04
61058.7,29.70,631.06
62059.5,57.80,631.22
63060.1,37.50,631.40
64060.6,51.50,631.49
65061.2,59.30,649.95
66061.7,34.40,632.18
67062.4,40.60,632.47
68063.1,37.50,682.37
69063.8,46.80,632.91
70064.3,54.70,633.00
71064.8,51.50,632.93
72065.4,40.60,631.48
73066.0,50.00,631.55
74066.4,35.90,631.24
75067.2,39.00,631.18
76067.9,40.60,631.65
77068.4,64.00,632.32
78069.5,37.50,645.73
79070.7,70.20,646.65
80071.5,40.60,645.14
81072.0,54.70,645.43
82072.5,39.00,646.69
83073.2,43.70,645.47
84073.8,37.50,678.71
85074.3,28.10,634.79
86074.5,45.30,634.96
87075.1,39.00,684.27
88075.8,40.60,635.56
89076.3,48.40,636.56
90077.0,43.70,636.48
91077.6,35.90,636.43
92077.9,43.70,636.52
93078.6,45.30,636.54
94079.2,46.80,636.72
95079.8,31.20,636.71
96080.4,51.50,636.90
97080.7,39.10,636.94
98081.2,50.00,637.10
99081.5,43.70,637.68
100081.7,48.40,637.70
101081.9,46.90,674.39
102082.6,54.70,639.28
103083.1,39.00,639.62
104083.5,29.70,687.93
105084.3,34.30,638.47
106084.7,50.00,638.69
107085.3,34.40,638.94
108086.0,42.20,639.32
109086.4,34.40,639.75
110087.3,42.20,640.28
111087.8,46.90,640.55
112088.2,31.20,640.57
113089.1,51.50,640.82
114089.8,39.00,640.73
115090.3,54.70,640.98
116091.0,25.00,641.24
117091.5,54.70,641.20
118092.0,21.90,641.32
119092.5,65.60,641.44
120093.0,28.10,641.45
121093.4,40.60,638.07
122093.9,40.60,655.84
123094.3,40.60,638.42
124095.0,54.60,638.44
125095.3,28.10,656.78
126095.9,35.90,639.02
127096.5,43.70,639.30
128096.9,53.10,639.74
129097.7,43.70,640.43
130098.2,42.20,640.61
131099.1,42.20,640.98
132099.6,45.30,641.36
133100.3,29.70,641.45
134100.9,68.70,641.80
135101.6,34.40,641.94
136102.0,54.70,641.96
137102.7,31.20,681.30
138103.0,62.50,682.30
139103.5,23.40,682.66
140104.0,71.80,682.89
141104.6,40.60,682.70
142105.4,74.90,682.78
143105.8,21.90,682.78
144106.5,54.70,682.98
145106.8,23.40,682.99
146107.1,56.20,683.00
147107.8,34.30,683.00
148110.7,53.00,683.03
149111.7,39.00,682.50
150113.7,60.90,682.47
151114.1,40.60,682.46
152114.7,62.50,685.39
153115.6,39.00,685.36
154116.0,54.70,685.50
155116.6,46.80,686.00
156117.4,39.00,686.25
157117.9,43.70,686.32
158118.4,45.30,686.40
159119.5,32.80,686.53
160120.3,40.60,686.60
161121.0,29.70,686.57
162121.9,51.50,686.73
163122.6,35.90,686.80
164123.2,51.50,686.93
165123.5,35.90,686.98
166124.1,50.00,687.09
167124.6,37.50,687.52
168125.7,29.70,687.59
169126.9,37.50,687.65
170127.4,31.20,687.72
171128.1,62.50,687.79
172128.5,26.60,687.79
173129.1,62.50,686.87
174129.8,35.90,724.46
175130.3,45.30,686.96
176130.9,53.10,686.87
177131.5,37.50,705.77
178132.1,37.50,687.00
179132.7,29.70,687.08
180133.3,42.20,687.15
181133.9,31.20,687.24
182134.8,53.10,687.45
