t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,212.79,213.34,4096.00,128.44,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
119.5,1,0,212.79,213.34,4096.00,128.44,0.00,19.36,0.1936,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
228.5,1,0,212.79,213.34,4096.00,128.44,0.00,9.07,0.0907,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
337.8,1,0,212.79,213.34,4096.00,128.44,0.00,9.21,0.0921,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
446.6,1,0,212.80,213.34,4096.00,128.44,0.00,8.82,0.0882,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
549.9,1,0,212.81,213.59,4096.00,0.00,0.00,3.33,0.0333,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
741.1,1,1,255.17,256.15,4096.00,128.44,0.00,91.21,0.9121,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
883.9,1,1,255.17,256.15,4096.00,128.44,0.00,42.75,0.4275,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
993.5,1,1,255.17,256.15,4096.00,128.44,0.00,9.65,0.0965,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
1103.0,1,1,255.18,256.15,4096.00,128.44,0.00,9.48,0.0948,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
1212.0,1,1,255.18,256.15,4096.00,128.44,0.00,9.05,0.0905,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
1320.6,1,1,255.18,256.15,4096.00,128.44,0.00,8.51,0.0851,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
1428.8,1,1,255.18,256.15,4096.00,0.00,0.00,8.26,0.0826,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
1622.4,1,2,297.54,298.46,4096.00,128.44,0.00,93.63,0.9363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36",2026-06-19T15:34:11.029Z,"batch-detect yolocorner acer_nitro5 n=179"
