t_ms,cpu_pct,ram_mb
1051.8,1.60,1374.36
2052.8,7.80,1381.72
3054.0,121.90,1525.49
4055.6,298.40,1626.95
5056.6,107.80,1782.47
6057.4,65.60,1912.43
7058.8,71.90,1825.38
8060.3,106.20,1889.57
9061.1,96.90,1954.78
10061.7,104.70,2040.26
11062.4,76.60,2091.86
12063.4,90.60,2168.00
13065.0,85.90,1702.75
14066.9,73.40,1753.91
15067.7,89.10,1829.91
16069.0,67.20,1870.10
17069.9,93.90,1921.31
18071.1,67.20,1997.20
19073.3,78.10,2006.47
20074.7,87.50,2081.67
21075.4,60.90,2124.24
22076.7,95.30,2175.66
23080.2,65.60,2251.98
24080.9,71.90,1701.91
25081.8,93.80,1744.89
26082.8,71.90,1787.34
27083.8,96.90,1840.27
28085.1,75.00,1876.31
29085.9,90.70,1907.34
30086.5,73.40,1960.94
31088.5,65.60,2026.07
32090.6,109.40,1645.59
33091.6,73.40,1685.48
34092.4,70.30,1664.74
35093.4,96.90,1687.34
36094.0,67.20,1687.46
37095.0,71.90,1687.88
38095.9,95.30,1687.98
39096.8,68.80,1689.66
40097.6,85.90,1659.95
41098.4,96.90,1693.61
42099.1,75.00,1693.77
43099.6,84.40,1660.41
44100.8,83.10,1691.91
45104.7,112.40,1621.89
46105.5,178.10,1696.46
47106.5,173.50,1686.99
48107.3,204.70,1623.62
49108.4,187.50,1668.45
50109.2,178.20,1670.08
51110.0,192.20,1669.55
52111.1,167.20,1677.27
53111.8,209.40,1617.88
54113.1,73.40,1671.20
55113.5,106.30,1659.80
56114.2,212.50,1682.95
57115.5,176.60,1694.03
58116.6,199.90,1627.82
59117.6,203.20,1678.21
60118.4,142.30,1674.99
61118.9,98.50,1611.29
62120.0,95.30,1665.00
63120.7,81.30,1666.85
64121.4,84.30,1615.78
65122.3,100.00,1670.14
66123.1,67.20,1671.12
67124.4,93.80,1617.34
68125.6,95.30,1671.18
69126.4,68.70,1672.53
70127.3,93.80,1638.94
71128.5,107.80,1675.20
72129.3,50.00,1676.67
73130.2,92.20,1633.39
74131.3,90.60,1687.48
75132.4,81.50,1688.99
76133.2,93.80,1638.05
77134.6,93.80,1692.40
78135.2,71.90,1693.40
79136.0,76.50,1648.91
80137.2,106.30,1703.62
81137.9,75.00,1718.49
82139.8,73.40,1690.14
83140.8,101.60,1708.87
84141.4,82.80,1657.42
85142.4,75.00,1719.10
86143.2,120.30,1667.29
87143.7,71.90,1722.15
88144.9,70.30,1723.80
89145.8,98.40,1673.23
90146.7,84.30,1727.88
91147.2,76.60,1735.86
92148.1,86.20,1683.75
93149.0,79.70,1739.02
94149.5,68.80,1740.51
95150.3,101.60,1688.63
96151.1,76.70,1749.47
97152.7,101.50,1714.84
98154.6,87.50,1739.46
99156.0,79.70,1740.96
100157.2,114.10,1741.47
101158.7,106.20,1743.84
102161.1,124.90,1745.98
103164.4,81.50,1700.81
104166.4,103.10,1755.91
105166.9,75.00,1757.12
106168.1,87.50,1703.72
107168.8,85.90,1757.19
108169.9,81.20,1757.45
109170.8,110.90,1757.51
110171.6,68.70,1761.45
111172.6,98.40,1691.62
112173.6,90.60,1744.94
113174.8,67.20,1686.85
114175.5,106.30,1743.44
115177.2,71.90,1743.44
116178.0,103.10,1743.34
117179.9,72.30,1743.38
118180.9,70.30,1687.30
119181.9,95.30,1744.73
120183.2,68.80,1744.25
121183.9,79.70,1688.00
122184.9,90.60,1744.36
123185.5,70.30,1744.70
124186.4,90.60,1688.41
125187.2,79.70,1744.75
126188.2,67.20,1744.82
127189.3,92.20,1688.61
128190.5,79.70,1744.67
129191.2,73.40,1744.78
130191.9,95.30,1688.63
131193.1,79.70,1745.04
132193.9,68.80,1745.09
133194.9,90.80,1688.95
134196.6,84.40,1745.30
135197.5,75.00,1745.37
136198.3,103.10,1744.25
137199.1,70.30,1744.42
138199.8,71.90,1688.36
139200.8,96.90,1744.61
140202.1,75.00,1744.89
141203.0,93.70,1688.52
142206.2,90.60,1744.88
143207.1,73.40,1744.93
144207.6,81.20,1688.64
145208.9,87.50,1745.05
146209.7,73.40,1748.09
147211.5,99.90,1747.36
148213.6,45.30,1747.54
149214.7,48.40,1691.69
