t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,0.96,1.54,4096.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
115.8,1,0,0.96,1.54,4096.00,17.06,0.00,15.56,0.1556,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
226.2,1,0,0.97,1.54,4096.00,17.06,0.00,10.42,0.1042,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
338.1,1,0,0.97,1.54,4096.00,17.06,0.00,11.94,0.1194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
447.5,1,0,0.97,1.54,4096.00,0.00,0.00,9.35,0.0935,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
637.1,1,0,0.98,1.54,4096.00,0.00,0.00,89.59,0.8959,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
842.4,1,0,0.98,1.54,4096.00,0.00,0.00,105.37,1.0537,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
1046.0,1,0,0.98,1.54,4096.00,0.00,0.00,103.55,1.0355,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
1250.9,1,0,0.98,1.54,4096.00,0.00,0.00,104.89,1.0489,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
1449.1,1,1,43.35,44.60,4096.00,0.00,0.00,98.25,0.9825,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
1644.1,1,1,43.35,44.60,4096.00,0.00,0.00,94.97,0.9497,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
1848.5,1,1,43.35,44.60,4096.00,0.00,0.00,104.44,1.0444,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2052.7,1,2,85.71,86.91,4096.00,122.38,0.00,104.16,1.0416,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2159.1,1,2,85.71,86.91,4096.00,122.38,0.00,6.40,0.0640,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2268.3,1,2,85.71,86.91,4096.00,122.38,0.00,9.22,0.0922,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2378.1,1,2,85.72,86.91,4096.00,0.00,0.00,9.82,0.0982,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2582.8,1,2,85.72,86.91,4096.00,0.00,0.00,104.63,1.0462,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2786.2,1,2,85.72,86.91,4096.00,0.00,0.00,103.44,1.0344,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
2987.3,1,3,128.08,129.22,4096.00,122.38,0.00,101.15,1.0115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3098.9,1,3,128.08,129.22,4096.00,0.00,0.00,11.58,0.1158,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3301.1,1,3,128.08,129.22,4096.00,0.00,0.00,102.16,1.0216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3492.2,1,4,170.44,171.53,4096.00,122.38,0.00,91.12,0.9112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3664.8,1,4,170.44,171.53,4096.00,122.38,0.00,72.55,0.7255,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3771.2,1,4,170.45,171.53,4096.00,122.38,0.00,6.42,0.0642,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3882.6,1,4,170.45,171.53,4096.00,122.38,0.00,11.41,0.1141,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
3990.0,1,4,170.45,171.53,4096.00,0.00,0.00,7.44,0.0744,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
4189.8,1,4,170.45,171.53,4096.00,0.00,0.00,99.81,0.9981,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
4393.8,1,5,212.81,213.84,4096.00,122.38,0.00,103.93,1.0393,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
4504.2,1,5,212.81,213.84,4096.00,0.00,0.00,10.44,0.1044,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
4705.9,1,5,212.81,213.84,4096.00,0.00,0.00,101.74,1.0174,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
4909.1,1,5,212.81,213.84,4096.00,0.00,0.00,103.12,1.0312,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5112.6,1,6,255.17,256.40,4096.00,122.38,0.00,103.53,1.0353,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5221.3,1,6,255.18,256.40,4096.00,122.38,0.00,8.75,0.0875,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5329.4,1,6,255.18,256.40,4096.00,122.38,0.00,8.03,0.0803,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5436.9,1,6,255.18,256.40,4096.00,122.38,0.00,7.49,0.0749,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5546.1,1,6,255.18,256.40,4096.00,0.00,0.00,9.20,0.0920,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5749.0,1,6,255.18,256.40,4096.00,0.00,0.00,102.95,1.0295,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
5951.5,1,7,297.54,298.71,4096.00,122.38,0.00,102.54,1.0254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
6076.0,1,7,297.54,298.71,4096.00,0.00,0.00,24.48,0.2448,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
6279.9,1,7,297.54,298.71,4096.00,0.00,0.00,103.92,1.0392,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
6482.8,1,8,339.91,341.02,4096.00,122.38,0.00,102.83,1.0283,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
6636.4,1,8,339.91,341.02,4096.00,122.38,0.00,53.63,0.5363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T04:22:57.561Z,"batch-detect cv pc_rerun_20260527 n=179"
