t_ms,cpu_pct,ram_mb
1029.6,9.40,101.72
2030.6,53.10,145.10
3031.4,282.80,364.49
4031.8,109.40,518.50
5032.5,68.80,584.26
6033.1,100.00,682.95
7033.6,67.20,637.07
8034.4,64.10,657.48
9034.7,98.40,717.12
10035.1,64.10,767.39
11037.0,64.60,810.94
12038.0,93.80,863.78
13038.7,68.80,906.20
14039.5,85.90,461.58
15040.3,78.10,524.46
16041.2,64.10,566.96
17042.1,95.30,609.39
18042.9,75.00,651.86
19043.3,62.50,726.61
20044.1,90.60,779.18
21044.4,67.20,821.66
22044.8,100.00,884.03
23045.6,70.30,948.83
24046.2,65.60,991.40
25046.8,101.60,441.06
26047.5,65.60,525.85
27048.3,78.10,551.53
28048.7,93.80,616.83
29049.7,70.30,682.43
30050.3,64.10,724.98
31050.9,90.60,783.54
32051.3,64.70,849.53
33051.9,76.60,383.18
34052.6,89.10,404.16
35053.3,78.10,427.31
36053.9,68.80,427.22
37054.4,92.20,402.45
38055.5,71.90,427.86
39055.9,75.00,425.78
40056.7,107.80,441.18
41057.5,71.90,504.36
42058.2,65.60,521.98
43059.1,95.30,522.14
44059.5,70.30,504.52
45060.1,70.30,522.21
46061.0,95.30,528.46
47061.8,67.20,509.51
48063.3,73.40,515.46
49064.4,92.20,515.57
50064.7,76.60,539.38
51065.7,68.80,497.80
52066.7,96.90,515.58
53067.6,64.60,515.28
54068.5,75.00,479.95
55069.3,96.90,516.41
56069.7,68.80,516.11
57069.9,70.30,480.66
58070.9,93.80,515.82
59071.6,59.40,516.10
60072.3,92.20,481.21
61073.2,75.00,516.52
62073.8,64.10,516.86
63074.3,78.10,482.09
64075.0,84.40,516.94
65075.5,65.60,517.04
66076.0,84.40,482.07
67077.0,82.80,517.18
68077.9,75.00,517.13
69078.9,85.90,482.44
70079.8,67.20,517.46
71080.7,70.30,517.69
72081.1,93.80,517.97
73081.9,64.10,517.86
74082.6,70.70,500.44
75085.0,96.90,518.69
76085.8,67.20,518.54
77086.7,68.80,484.18
78087.7,85.90,519.84
79087.9,68.80,520.03
80088.8,95.30,518.02
81089.4,73.40,498.19
82090.0,81.20,500.38
83092.1,98.40,518.25
84093.0,62.50,518.32
85093.7,82.80,483.11
86094.3,73.40,519.27
87095.1,71.90,519.81
88095.6,98.40,554.97
89096.1,68.80,487.40
90096.7,62.50,504.01
91097.3,95.30,522.00
92098.0,70.30,521.98
93098.7,64.70,501.64
94099.5,87.50,519.46
95100.6,67.20,519.49
96101.5,78.10,483.49
97102.3,85.90,518.77
98102.6,67.20,519.30
99103.2,64.10,484.55
100103.9,95.30,520.23
101104.4,73.40,520.20
102104.8,85.90,484.54
103105.3,73.40,520.44
104106.0,71.90,560.34
105106.6,96.90,610.25
106107.5,71.90,545.93
107108.2,68.80,561.86
108109.1,90.60,562.00
109109.7,65.60,544.09
110110.8,64.10,562.94
111111.7,100.00,562.89
112112.1,73.40,562.90
113112.5,60.90,562.09
114113.2,96.90,562.65
115114.0,64.60,563.04
116115.1,100.00,525.55
117115.6,56.20,564.05
118116.1,68.80,544.66
119117.6,92.20,563.52
120118.5,68.80,563.61
121119.2,92.20,526.18
122120.1,64.10,563.77
123120.9,73.40,563.78
124121.7,96.90,563.87
125122.1,67.20,579.92
126122.7,64.10,545.09
127124.6,95.30,564.09
128125.0,64.10,600.11
129126.2,67.20,564.15
130127.1,90.60,614.05
131127.9,60.90,614.06
132129.0,73.40,545.39
133129.9,93.80,564.21
134130.2,65.60,564.20
135130.5,76.60,526.64
136131.6,81.20,564.24
137132.1,68.80,562.36
138132.5,82.80,525.05
139134.0,79.70,563.21
140134.6,65.60,563.24
141135.4,100.00,563.25
142136.0,71.90,528.57
143136.7,0.00,528.57
144137.9,0.00,528.39
