t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.3,1,0,0.99,1.54,4096.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
873.4,1,0,1.00,1.54,4096.00,0.00,0.00,773.13,7.7313,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
2877.7,1,1,43.36,44.10,4096.00,0.00,122.38,1904.25,19.0425,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
3874.4,1,2,85.72,86.41,4096.00,0.00,122.38,896.72,8.9672,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
4864.6,1,2,85.72,86.41,4096.00,0.00,122.38,890.19,8.9019,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
5869.6,1,3,128.08,128.72,4096.00,0.00,122.38,904.97,9.0497,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
6870.4,1,3,128.09,128.72,4096.00,0.00,122.38,900.84,9.0084,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
7919.5,1,4,170.45,171.03,4096.00,0.00,122.38,949.12,9.4912,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
8873.7,1,4,170.45,171.03,4096.00,0.00,122.38,854.19,8.5419,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
9875.9,1,5,212.82,213.59,4096.00,0.00,122.38,902.15,9.0215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
10875.1,1,5,212.82,213.59,4096.00,0.00,122.38,899.29,8.9929,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
11867.5,1,6,255.18,256.15,4096.00,0.00,122.38,892.31,8.9231,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
12876.6,1,6,255.18,256.15,4096.00,0.00,122.38,909.16,9.0916,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
13866.6,1,7,297.55,298.46,4096.00,0.00,122.38,890.03,8.9003,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
14867.3,1,7,297.55,298.46,4096.00,0.00,122.38,900.66,9.0066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
15876.8,1,8,339.91,340.77,4096.00,0.00,122.38,909.47,9.0947,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
16874.4,1,8,339.92,340.77,4096.00,0.00,122.38,897.57,8.9757,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
17872.9,1,9,382.28,383.08,4096.00,0.00,122.38,898.57,8.9857,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
18868.3,1,10,424.64,425.39,4096.00,0.00,122.38,895.38,8.9538,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
20878.8,1,11,467.00,467.95,4096.00,0.00,122.38,1910.50,19.1050,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
21874.4,1,11,467.01,467.95,4096.00,0.00,122.38,895.59,8.9559,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
22865.0,1,12,509.37,510.26,4096.00,0.00,122.38,890.58,8.9058,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
23870.9,1,13,42.95,44.32,4096.00,0.00,122.38,905.93,9.0593,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
25866.5,1,14,42.95,44.57,4096.00,0.00,122.38,1895.59,18.9559,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
26873.2,1,14,42.95,44.57,4096.00,0.00,0.00,906.68,9.0668,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
28863.7,1,16,42.95,44.57,4096.00,0.00,122.38,1890.50,18.9050,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
29866.9,1,16,42.95,44.57,4096.00,0.00,122.38,903.27,9.0327,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
30873.2,1,17,42.95,44.32,4096.00,0.00,122.38,906.28,9.0628,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
31870.0,1,18,42.95,44.32,4096.00,0.00,122.38,896.81,8.9681,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
32867.2,1,18,42.95,44.32,4096.00,0.00,122.38,897.17,8.9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
33865.1,1,19,42.95,44.07,4096.00,0.00,122.38,897.92,8.9792,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
34864.9,1,19,42.95,44.07,4096.00,0.00,0.00,899.76,8.9976,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
36875.6,1,21,42.95,44.07,4096.00,0.00,122.38,1910.69,19.1069,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
37876.6,1,21,42.95,44.07,4096.00,0.00,0.00,900.99,9.0099,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
39868.7,1,23,42.95,44.07,4096.00,0.00,122.38,1892.09,18.9209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
41865.9,1,24,42.95,44.32,4096.00,0.00,122.38,1897.22,18.9722,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
42864.9,1,25,85.31,86.89,4096.00,0.00,0.00,898.97,8.9897,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
44868.6,1,26,85.31,86.64,4096.00,0.00,122.38,1903.72,19.0372,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
45867.3,1,26,42.95,44.32,4096.00,0.00,0.00,898.69,8.9869,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
47875.9,1,28,42.95,44.32,4096.00,0.00,122.38,1908.65,19.0865,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
48863.6,1,28,42.95,44.32,4096.00,0.00,0.00,887.67,8.8767,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
50876.0,1,30,42.95,44.32,4096.00,0.00,122.38,1912.38,19.1238,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
51867.9,1,30,42.96,44.32,4096.00,0.00,0.00,891.94,8.9194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
53866.1,1,32,43.02,44.32,4096.00,0.00,122.38,1898.16,18.9816,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
54869.2,1,32,43.02,44.32,4096.00,0.00,122.38,903.17,9.0317,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
55865.7,1,33,85.38,86.89,4096.00,0.00,122.38,896.42,8.9642,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
56869.7,1,34,43.02,44.33,4096.00,0.00,122.38,904.06,9.0406,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
57870.5,1,34,43.02,44.33,4096.00,0.00,122.38,900.78,9.0078,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-27T05:03:56.587Z,"batch-detect yolo pc_rerun_20260527 n=179"
