t_ms,cpu_pct,ram_mb
1054.8,20.30,103.99
2056.5,48.40,179.74
3057.4,353.10,335.42
4058.6,129.70,340.02
5059.3,20.30,273.45
6060.4,0.00,272.64
7061.3,9.40,297.40
8061.7,123.40,328.52
9062.2,120.30,355.44
10063.1,64.10,503.88
11064.1,96.90,503.95
12064.9,60.90,554.15
13065.9,92.20,547.65
14066.9,90.60,552.64
15067.5,73.40,552.64
16068.5,57.80,628.55
17069.4,96.90,639.62
18070.2,75.00,638.37
19071.5,79.70,638.38
20072.4,42.20,701.91
21074.5,89.10,724.28
22075.3,75.00,722.39
23075.8,87.50,760.54
24076.8,62.50,812.70
25077.4,89.10,834.89
26078.3,93.80,860.71
27079.1,57.80,893.77
28079.8,70.80,893.79
29080.6,92.20,897.43
30081.3,65.60,753.03
31081.7,90.60,438.68
32082.1,75.00,470.31
33082.9,85.90,440.87
34083.8,60.90,470.73
35084.5,100.00,470.00
36084.9,87.50,470.00
37085.8,56.20,470.72
38086.3,101.60,456.04
39087.2,93.80,470.34
40087.5,70.30,470.39
41088.4,96.90,470.39
42089.3,89.10,470.39
43089.7,67.20,457.23
44090.4,93.80,470.28
45091.3,85.90,470.26
46092.1,62.50,455.88
47092.4,78.10,470.61
48093.0,84.40,470.49
49093.6,70.30,441.25
50094.2,87.50,470.77
51094.8,92.20,471.54
52095.6,76.90,459.11
53096.3,76.60,471.01
54097.0,96.90,470.36
55097.7,79.70,441.12
56098.3,78.10,471.53
57098.8,103.10,470.76
58099.6,81.20,441.20
59100.1,71.90,471.00
60100.7,96.90,471.25
61101.0,95.30,441.69
62101.4,71.90,471.41
63102.1,84.40,471.48
64102.5,93.80,471.49
65102.9,60.90,471.72
66103.7,87.50,471.58
67104.0,100.00,471.58
68104.6,70.30,472.17
69105.2,93.80,466.27
70106.0,93.80,477.53
71106.3,60.90,472.02
72106.9,98.40,472.94
73107.6,78.10,472.00
74108.4,35.90,518.12
75109.0,82.80,488.84
76111.0,86.10,511.23
77111.6,68.80,473.79
78112.1,85.90,473.81
79112.9,81.20,472.29
80114.3,78.10,472.29
81117.1,45.30,472.56
82118.7,78.10,472.56
83119.7,90.60,472.43
84120.3,70.30,442.95
85121.5,54.70,467.89
86122.4,89.10,504.17
87122.9,75.00,473.62
88123.7,67.20,445.16
