t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,1.59,2.55,4096.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
106.3,1,0,1.60,2.55,4096.00,0.00,0.00,6.08,0.0608,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
288.9,1,0,1.60,2.55,4096.00,0.00,0.00,82.62,0.8262,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
475.5,1,0,1.60,2.55,4096.00,0.00,0.00,86.60,0.8660,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
658.4,1,0,1.60,2.55,4096.00,0.00,0.00,82.95,0.8295,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
841.2,1,0,1.60,2.55,4096.00,0.00,0.00,82.81,0.8281,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
1023.4,1,0,1.60,2.55,4096.00,0.00,0.00,82.15,0.8215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
1206.7,1,0,1.61,2.80,4096.00,0.00,0.00,83.31,0.8331,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
1388.9,1,0,1.61,2.80,4096.00,0.00,0.00,82.19,0.8219,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
1571.6,1,0,1.61,2.80,4096.00,0.00,0.00,82.72,0.8272,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T16:58:28.468Z,"batch-detect cv n=179 (dataset_1..5 Bài làm)"
