t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.2,1,0,3.79,6.19,4096.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
105.5,1,0,3.80,6.19,4096.00,0.00,0.00,5.31,0.0531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
289.6,1,0,3.80,6.19,4096.00,0.00,17.06,84.12,0.8412,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
461.8,1,0,3.81,6.19,4096.00,0.00,0.00,72.22,0.7222,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
644.4,1,0,3.81,6.19,4096.00,0.00,0.00,82.58,0.8258,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
827.1,1,0,3.81,6.19,4096.00,0.00,0.00,82.67,0.8267,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
1009.9,1,0,3.81,6.19,4096.00,0.00,0.00,82.84,0.8284,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
1191.6,1,0,3.81,6.19,4096.00,0.00,0.00,81.70,0.8170,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
1374.2,1,0,3.81,6.19,4096.00,0.00,0.00,82.63,0.8263,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
1557.0,1,1,43.98,46.59,4096.00,0.00,0.00,82.78,0.8278,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-25T17:12:03.364Z,"batch-detect yolo n=179 (dataset_1..5 Bài làm)"
