t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.5,1,0,0.00,0.00,0.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
103.4,1,0,0.00,0.00,0.00,17.06,0.00,2.94,0.0294,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
203.9,1,0,0.00,0.00,0.00,17.06,0.00,0.48,0.0048,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
305.4,1,0,0.00,0.00,0.00,17.06,0.00,1.52,0.0152,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
406.0,1,0,0.00,0.00,0.00,17.06,0.00,0.54,0.0054,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
507.3,1,0,0.00,0.00,0.00,17.06,0.00,1.30,0.0130,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
607.6,1,0,0.00,0.00,0.00,17.06,0.00,0.32,0.0032,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
708.9,1,0,0.00,0.00,0.00,17.06,0.00,1.30,0.0130,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
809.5,1,0,0.00,0.00,0.00,17.06,0.00,0.62,0.0062,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
910.7,1,0,0.00,0.00,0.00,17.06,0.00,1.20,0.0120,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
1011.5,1,0,0.00,0.00,0.00,17.06,0.00,0.76,0.0076,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
1112.7,1,0,0.00,0.00,0.00,17.06,0.00,1.24,0.0124,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
1214.0,1,0,0.00,0.00,0.00,17.06,0.00,1.28,0.0128,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
1315.3,1,0,0.00,0.00,0.00,17.06,0.00,1.30,0.0130,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
1416.6,1,0,0.00,0.00,0.00,17.06,0.00,1.26,0.0126,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T18:28:49.414Z,"batch-detect cv n=179"
