t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,0.00,0.00,0.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
103.2,1,0,0.00,0.00,0.00,0.00,17.06,3.04,0.0304,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
203.6,1,0,0.00,0.00,0.00,0.00,17.06,0.46,0.0046,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
304.8,1,0,0.00,0.00,0.00,0.00,17.06,1.18,0.0118,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
405.4,1,0,0.00,0.00,0.00,0.00,17.06,0.60,0.0060,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
506.6,1,0,0.00,0.00,0.00,0.00,17.06,1.24,0.0124,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
607.5,1,0,0.00,0.00,0.00,0.00,17.06,0.84,0.0084,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
708.9,1,0,0.00,0.00,0.00,0.00,17.06,1.38,0.0138,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
809.9,1,0,0.00,0.00,0.00,0.00,17.06,1.02,0.0102,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
911.2,1,0,0.00,0.00,0.00,0.00,17.06,1.30,0.0130,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",2026-05-26T21:24:55.099Z,"batch-detect yolo n=179"
