t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,0.96,1.54,2144.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
104.3,1,0,0.97,1.54,2144.00,0.00,0.00,4.24,0.0424,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
287.1,1,0,0.97,1.54,2144.00,0.00,0.00,82.80,0.8280,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
469.4,1,1,43.34,44.10,2144.00,122.38,0.00,82.26,0.8226,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
646.9,1,1,43.34,44.10,2144.00,0.00,0.00,77.54,0.7754,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
828.4,1,2,85.70,86.41,2144.00,122.38,0.00,81.45,0.8145,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
929.8,1,2,85.70,86.41,2144.00,0.00,0.00,1.45,0.0145,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
1112.5,1,3,128.06,128.72,2144.00,0.00,0.00,82.66,0.8266,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
1296.2,1,4,170.42,171.03,2144.00,122.38,0.00,83.70,0.8370,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
1465.7,1,4,170.43,171.53,2144.00,0.00,0.00,69.54,0.6954,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
1647.7,1,5,212.79,213.84,2144.00,122.38,0.00,82.00,0.8200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
1748.8,1,5,212.79,213.84,2144.00,0.00,0.00,1.08,0.0108,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
1931.3,1,6,255.15,256.40,2144.00,0.00,0.00,82.54,0.8254,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
2113.5,1,7,297.52,298.71,2144.00,122.38,0.00,82.22,0.8222,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
2275.3,1,7,297.52,298.71,2144.00,0.00,0.00,61.73,0.6173,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
2458.4,1,8,339.89,341.02,2144.00,0.00,0.00,83.14,0.8314,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
2641.8,1,9,382.25,383.33,2144.00,122.38,0.00,83.44,0.8344,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
2812.1,1,9,382.25,383.33,2144.00,0.00,0.00,70.21,0.7021,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
2995.2,1,10,424.61,425.64,2144.00,0.00,0.00,83.19,0.8319,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
3178.1,1,11,466.97,468.01,2144.00,122.38,0.00,82.83,0.8283,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
3355.0,1,11,466.97,468.01,2144.00,0.00,0.00,76.92,0.7692,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
3537.7,1,12,508.96,510.01,2144.00,122.38,0.00,82.75,0.8275,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
3639.6,1,12,508.96,510.01,2144.00,0.00,0.00,1.83,0.0183,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
3825.5,1,13,550.66,552.29,2144.00,122.38,0.00,85.94,0.8594,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
3930.0,1,13,550.66,552.29,2144.00,0.00,0.00,4.47,0.0447,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
4112.7,1,14,85.30,86.88,2144.00,0.00,0.00,82.72,0.8272,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
4296.0,1,15,127.65,129.19,2144.00,122.38,0.00,83.32,0.8332,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
4460.3,1,15,127.66,129.19,2144.00,0.00,0.00,64.29,0.6429,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
4643.4,1,16,170.02,171.51,2144.00,0.00,0.00,83.07,0.8307,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
4826.6,1,17,212.37,213.82,2144.00,122.38,0.00,83.23,0.8323,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
4995.9,1,17,212.38,213.82,2144.00,0.00,0.00,69.32,0.6932,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
5178.5,1,18,254.73,256.13,2144.00,0.00,0.00,82.61,0.8261,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
5361.2,1,19,297.09,298.69,2144.00,122.38,0.00,82.70,0.8270,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
5532.6,1,19,297.09,298.69,2144.00,0.00,0.00,71.32,0.7132,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
5715.6,1,20,339.45,341.00,2144.00,0.00,0.00,83.02,0.8302,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
5898.3,1,21,381.80,383.31,2144.00,122.38,0.00,82.67,0.8267,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
6071.3,1,21,381.81,383.31,2144.00,0.00,0.00,73.03,0.7303,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
6253.0,1,22,424.16,425.63,2144.00,122.38,0.00,81.69,0.8169,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
6353.9,1,22,424.16,425.63,2144.00,0.00,0.00,0.98,0.0098,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
6535.2,1,23,466.52,467.94,2144.00,0.00,0.00,81.21,0.8121,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
6718.0,1,23,466.52,467.94,2144.00,0.00,0.00,82.89,0.8289,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
6902.4,1,24,508.88,510.25,2144.00,0.00,0.00,84.37,0.8437,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
7085.1,1,25,551.23,552.81,2144.00,122.38,0.00,82.71,0.8271,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
7185.9,1,25,551.24,552.81,2144.00,0.00,0.00,0.82,0.0082,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
7367.3,1,26,593.59,595.13,2144.00,0.00,0.00,81.40,0.8140,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
7550.6,1,27,635.95,637.69,2144.00,122.38,0.00,83.28,0.8328,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
7725.5,1,27,635.29,637.16,2144.00,0.00,0.00,74.88,0.7488,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
7906.7,1,28,85.31,87.14,2144.00,122.38,0.00,81.16,0.8116,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
8008.4,1,28,85.31,87.14,2144.00,0.00,0.00,1.76,0.0176,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
8190.9,1,29,127.67,129.45,2144.00,0.00,0.00,82.49,0.8249,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
8373.8,1,30,170.03,171.76,2144.00,122.38,0.00,82.92,0.8292,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
8539.3,1,30,170.03,171.76,2144.00,0.00,0.00,65.51,0.6551,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
8721.9,1,31,212.39,214.08,2144.00,0.00,0.00,82.60,0.8260,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
8904.5,1,32,254.74,256.39,2144.00,122.38,0.00,82.59,0.8259,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:13:32.315Z,"batch-detect cv mac n=179"
