t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,1.06,1.58,2144.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
101.3,1,0,1.07,1.58,2144.00,0.00,0.00,1.26,0.0126,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
284.2,1,0,1.07,1.58,2144.00,0.00,0.00,82.86,0.8286,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
467.0,1,1,43.33,44.37,2144.00,0.00,0.00,82.79,0.8279,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
649.9,1,2,85.69,86.93,2144.00,0.00,122.38,82.97,0.8297,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
824.4,1,2,85.63,86.93,2144.00,0.00,0.00,74.45,0.7445,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1006.5,1,3,85.68,87.18,2144.00,0.00,122.38,82.14,0.8214,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1191.2,1,3,85.63,86.68,2144.00,0.00,0.00,84.69,0.8469,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1374.4,1,3,85.63,86.68,2144.00,0.00,0.00,83.16,0.8316,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1556.8,1,4,85.64,87.15,2144.00,0.00,122.38,82.46,0.8246,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1658.4,1,4,85.64,87.15,2144.00,0.00,0.00,1.59,0.0159,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1840.7,1,5,85.64,86.90,2144.00,0.00,122.38,82.24,0.8224,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
1941.4,1,5,85.64,86.90,2144.00,0.00,0.00,0.75,0.0075,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
2122.9,1,6,85.63,87.15,2144.00,0.00,122.38,81.46,0.8146,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
2267.0,1,6,85.64,87.15,2144.00,0.00,0.00,44.08,0.4408,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
2449.4,1,7,85.63,86.90,2144.00,0.00,122.38,82.44,0.8244,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
2596.4,1,7,85.63,86.90,2144.00,0.00,0.00,46.98,0.4698,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
2777.9,1,8,85.63,87.40,2144.00,0.00,122.38,81.52,0.8152,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
2942.5,1,8,85.64,87.40,2144.00,0.00,0.00,64.63,0.6462,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
3125.2,1,9,85.64,86.90,2144.00,0.00,122.38,82.66,0.8266,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
3294.1,1,9,85.64,86.90,2144.00,0.00,0.00,68.93,0.6893,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
3476.5,1,10,85.64,87.15,2144.00,0.00,122.38,82.42,0.8242,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
3620.1,1,10,85.64,87.15,2144.00,0.00,0.00,43.53,0.4353,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
3802.6,1,11,85.69,87.40,2144.00,0.00,122.38,82.58,0.8258,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
3948.0,1,11,85.64,86.90,2144.00,0.00,0.00,45.38,0.4538,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
4130.9,1,12,85.64,87.15,2144.00,0.00,122.38,82.85,0.8285,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
4282.5,1,12,85.64,87.15,2144.00,0.00,0.00,51.58,0.5158,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
4465.2,1,13,85.64,86.90,2144.00,0.00,122.38,82.76,0.8276,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
4611.7,1,13,85.64,86.90,2144.00,0.00,0.00,46.44,0.4644,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
4794.1,1,14,85.64,87.15,2144.00,0.00,122.38,82.41,0.8241,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
4940.1,1,14,85.65,87.15,2144.00,0.00,0.00,46.05,0.4605,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
5122.3,1,15,85.64,86.90,2144.00,0.00,122.38,82.22,0.8222,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
5265.9,1,15,85.65,86.90,2144.00,0.00,0.00,43.54,0.4354,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
5448.3,1,16,85.65,87.90,2144.00,0.00,122.38,82.43,0.8243,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
5595.8,1,16,85.65,87.90,2144.00,0.00,0.00,47.44,0.4744,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
5778.6,1,17,85.70,88.15,2144.00,0.00,122.38,82.85,0.8285,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T15:15:02.483Z,"batch-detect yolo mac n=179"
