t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.8,1,0,9.54,9.54,1077.65,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
108.7,1,0,9.54,9.54,1077.65,17.06,0.00,7.96,0.0796,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
210.6,1,0,9.54,9.54,1077.65,17.06,0.00,1.89,0.0189,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
311.9,1,0,9.54,9.54,1077.65,0.00,0.00,1.35,0.0135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
493.3,1,0,9.54,9.54,1077.65,0.00,0.00,81.39,0.8139,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
674.5,1,0,9.54,9.54,1077.65,0.00,0.00,81.12,0.8112,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
856.0,1,0,9.54,9.54,1077.65,0.00,0.00,81.55,0.8155,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
1037.0,1,0,9.54,9.54,1077.65,0.00,0.00,81.02,0.8102,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
1218.4,1,0,9.54,9.54,1077.65,0.00,0.00,81.40,0.8140,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
1400.0,1,0,9.54,9.54,1077.65,0.00,0.00,81.56,0.8156,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:25:47.905Z,"batch-detect cv mobile n=179"
