t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.5,1,0,9.54,9.54,1077.65,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
106.7,1,0,9.54,9.54,1077.65,0.00,0.00,6.23,0.0623,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
287.8,1,0,9.54,9.54,1077.65,0.00,0.00,81.07,0.8107,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
468.6,1,0,9.54,9.54,1077.65,0.00,17.06,80.85,0.8085,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
569.7,1,0,9.54,9.54,1077.65,0.00,0.00,1.08,0.0108,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
750.7,1,0,9.54,9.54,1077.65,0.00,0.00,81.03,0.8103,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
931.9,1,0,9.54,9.54,1077.65,0.00,0.00,81.22,0.8122,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1112.9,1,0,9.54,9.54,1077.65,0.00,0.00,80.98,0.8098,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1294.0,1,0,9.54,9.54,1077.65,0.00,0.00,81.07,0.8107,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1475.0,1,1,9.54,9.54,1077.65,0.00,122.38,81.06,0.8106,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1584.3,1,1,9.54,9.54,1077.65,0.00,0.00,9.25,0.0925,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1766.4,1,1,9.54,9.54,1077.65,0.00,122.38,82.16,0.8216,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1870.3,1,1,9.54,9.54,1077.65,0.00,122.38,3.90,0.0390,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
1973.0,1,1,9.54,9.54,1077.65,0.00,0.00,2.68,0.0268,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
2154.3,1,1,9.54,9.54,1077.65,0.00,0.00,81.30,0.8130,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
2336.3,1,1,9.54,9.54,1077.65,0.00,0.00,81.98,0.8198,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
2517.7,1,1,9.54,9.54,1077.65,0.00,0.00,81.37,0.8137,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
2698.7,1,2,9.54,9.54,1077.65,0.00,122.38,81.02,0.8102,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
2883.6,1,2,9.54,9.54,1077.65,0.00,0.00,84.86,0.8486,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
3065.1,1,2,9.54,9.54,1077.65,0.00,122.38,81.51,0.8151,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
3176.6,1,2,9.54,9.54,1077.65,0.00,122.38,11.51,0.1151,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
3277.8,1,2,9.54,9.54,1077.65,0.00,0.00,1.17,0.0117,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
3459.1,1,2,9.54,9.54,1077.65,0.00,0.00,81.34,0.8134,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
3640.9,1,2,9.54,9.54,1077.65,0.00,0.00,81.82,0.8182,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
3824.4,1,3,9.54,9.54,1077.65,0.00,122.38,83.48,0.8348,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4001.5,1,3,9.54,9.54,1077.65,0.00,122.38,77.10,0.7710,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4164.8,1,3,9.54,9.54,1077.65,0.00,122.38,63.32,0.6332,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4266.3,1,3,9.54,9.54,1077.65,0.00,0.00,1.50,0.0150,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4448.2,1,3,9.54,9.54,1077.65,0.00,0.00,81.93,0.8193,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4630.7,1,3,9.54,9.54,1077.65,0.00,0.00,82.46,0.8246,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4812.4,1,3,9.54,9.54,1077.65,0.00,0.00,81.66,0.8166,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
4997.6,1,4,9.54,9.54,1077.65,0.00,122.38,85.21,0.8521,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
5098.6,1,4,9.54,9.54,1077.65,0.00,122.38,1.05,0.0105,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
5199.8,1,4,9.54,9.54,1077.65,0.00,122.38,1.18,0.0118,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
5301.8,1,4,9.54,9.54,1077.65,0.00,0.00,1.99,0.0199,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
5484.8,1,4,9.54,9.54,1077.65,0.00,0.00,83.04,0.8304,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
5666.8,1,4,9.54,9.54,1077.65,0.00,0.00,81.94,0.8194,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
5847.6,1,5,9.54,9.54,1077.65,0.00,122.38,80.84,0.8084,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6043.6,1,5,9.54,9.54,1077.65,0.00,0.00,96.03,0.9603,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6225.9,1,5,9.54,9.54,1077.65,0.00,122.38,82.25,0.8225,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6329.8,1,5,9.54,9.54,1077.65,0.00,122.38,3.88,0.0387,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6432.1,1,5,9.54,9.54,1077.65,0.00,0.00,2.38,0.0238,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6615.1,1,5,9.54,9.54,1077.65,0.00,0.00,82.93,0.8293,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6797.1,1,5,9.54,9.54,1077.65,0.00,0.00,82.04,0.8204,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
6979.1,1,5,9.54,9.54,1077.65,0.00,0.00,81.94,0.8194,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7161.4,1,6,9.54,9.54,1077.65,0.00,122.38,82.35,0.8235,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7310.4,1,6,9.54,9.54,1077.65,0.00,122.38,48.95,0.4895,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7413.0,1,6,9.54,9.54,1077.65,0.00,0.00,2.65,0.0265,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7596.5,1,6,9.54,9.54,1077.65,0.00,122.38,83.47,0.8347,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7715.5,1,6,9.54,9.54,1077.65,0.00,122.38,18.99,0.1899,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7818.1,1,6,9.54,9.54,1077.65,0.00,122.38,2.61,0.0261,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
7921.6,1,6,9.54,9.54,1077.65,0.00,0.00,3.54,0.0354,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
8103.9,1,6,9.54,9.54,1077.65,0.00,0.00,82.29,0.8229,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
8286.7,1,6,9.54,9.54,1077.65,0.00,0.00,82.79,0.8279,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
8468.5,1,6,9.54,9.54,1077.65,0.00,0.00,81.81,0.8181,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
8679.0,1,7,9.54,9.54,1077.65,0.00,122.38,110.46,1.1046,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
8781.5,1,7,9.54,9.54,1077.65,0.00,122.38,2.53,0.0253,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
8884.3,1,7,9.54,9.54,1077.65,0.00,0.00,2.83,0.0283,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
9067.8,1,7,9.54,9.54,1077.65,0.00,122.38,83.48,0.8348,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
9170.0,1,7,9.54,9.54,1077.65,0.00,122.38,2.18,0.0218,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
9272.9,1,7,9.54,9.54,1077.65,0.00,122.38,2.89,0.0289,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
9376.9,1,7,9.54,9.54,1077.65,0.00,0.00,4.04,0.0404,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-25T18:30:52.150Z,"batch-detect yolo mobile n=179"
