t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.5,1,0,214.58,214.58,1077.65,122.38,0.00,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
109.5,1,0,214.58,214.58,1077.65,0.00,0.00,9.06,0.0906,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
291.8,1,0,214.58,214.58,1077.65,0.00,0.00,82.23,0.8223,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
473.7,1,0,214.58,214.58,1077.65,0.00,0.00,81.97,0.8197,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
656.4,1,1,214.58,214.58,1077.65,122.38,0.00,82.62,0.8262,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
820.0,1,1,214.58,214.58,1077.65,122.38,0.00,63.61,0.6361,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
921.6,1,1,214.58,214.58,1077.65,0.00,0.00,1.68,0.0168,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
1104.3,1,1,214.58,214.58,1077.65,0.00,0.00,82.69,0.8269,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
1286.2,1,1,214.58,214.58,1077.65,0.00,0.00,81.85,0.8185,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
1469.5,1,2,214.58,214.58,1077.65,122.38,0.00,83.30,0.8330,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
1643.8,1,2,214.58,214.58,1077.65,0.00,0.00,74.33,0.7433,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
1827.0,1,2,214.58,214.58,1077.65,0.00,0.00,83.20,0.8320,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
2008.6,1,2,214.58,214.58,1077.65,0.00,0.00,81.61,0.8161,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
2190.3,1,2,214.58,214.58,1077.65,0.00,0.00,81.64,0.8164,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
2372.0,1,3,214.58,214.58,1077.65,122.38,0.00,81.78,0.8178,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
2474.8,1,3,214.58,214.58,1077.65,0.00,0.00,2.77,0.0277,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
2657.8,1,3,214.58,214.58,1077.65,0.00,0.00,83.00,0.8300,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
2840.4,1,3,214.58,214.58,1077.65,0.00,0.00,82.56,0.8256,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
3022.2,1,3,214.58,214.58,1077.65,0.00,0.00,81.83,0.8183,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
3213.3,1,4,214.58,214.58,1077.65,122.38,0.00,91.14,0.9114,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
3314.7,1,4,214.58,214.58,1077.65,122.38,0.00,1.36,0.0136,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:18:02.609Z,"batch-detect cv mobile n=179"
