t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
2.5,1,0,214.58,214.58,1077.65,0.00,122.38,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
110.5,1,0,214.58,214.58,1077.65,0.00,122.38,7.97,0.0797,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
274.8,1,0,214.58,214.58,1077.65,0.00,122.38,64.34,0.6434,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
376.8,1,0,214.58,214.58,1077.65,0.00,0.00,2.01,0.0201,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
557.9,1,0,214.58,214.58,1077.65,0.00,0.00,81.04,0.8104,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
738.7,1,0,214.58,214.58,1077.65,0.00,0.00,80.84,0.8084,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
928.9,1,1,214.58,214.58,1077.65,0.00,122.38,90.17,0.9017,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1029.6,1,1,214.58,214.58,1077.65,0.00,0.00,0.72,0.0072,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1211.0,1,1,214.58,214.58,1077.65,0.00,122.38,81.35,0.8135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1313.2,1,1,214.58,214.58,1077.65,0.00,0.00,2.25,0.0225,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1495.2,1,1,214.58,214.58,1077.65,0.00,0.00,82.02,0.8202,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1676.1,1,1,214.58,214.58,1077.65,0.00,0.00,80.88,0.8088,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1857.5,1,2,214.58,214.58,1077.65,0.00,122.38,81.42,0.8142,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
1958.9,1,2,214.58,214.58,1077.65,0.00,122.38,1.39,0.0139,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
2116.4,1,2,214.58,214.58,1077.65,0.00,122.38,57.48,0.5748,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
2217.4,1,2,214.58,214.58,1077.65,0.00,0.00,0.98,0.0098,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
2399.4,1,2,214.58,214.58,1077.65,0.00,0.00,82.01,0.8201,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
2580.9,1,2,214.58,214.58,1077.65,0.00,0.00,81.55,0.8155,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
2764.5,1,3,214.58,214.58,1077.65,0.00,122.38,83.54,0.8354,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
2866.5,1,3,214.58,214.58,1077.65,0.00,0.00,2.08,0.0208,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3049.0,1,3,214.58,214.58,1077.65,0.00,122.38,82.42,0.8242,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3150.4,1,3,214.58,214.58,1077.65,0.00,122.38,1.47,0.0147,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3252.9,1,3,214.58,214.58,1077.65,0.00,0.00,2.47,0.0247,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3434.8,1,3,214.58,214.58,1077.65,0.00,0.00,81.85,0.8185,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3616.7,1,3,214.58,214.58,1077.65,0.00,0.00,81.95,0.8195,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3798.1,1,4,214.58,214.58,1077.65,0.00,122.38,81.42,0.8142,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
3935.2,1,4,214.58,214.58,1077.65,0.00,122.38,37.01,0.3701,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
4037.5,1,4,214.58,214.58,1077.65,0.00,0.00,2.38,0.0238,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
4220.1,1,4,214.58,214.58,1077.65,0.00,122.38,82.55,0.8255,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-06-05T16:14:12.818Z,"batch-detect yolo mobile n=179"
