t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
3,warmup_CV,0,95.66,512.00,30.02,36.19,306.77,0.00
118,warmup_CV,0,95.98,512.00,77.11,83.87,349.84,269.37
221,warmup_CV,0,96.09,512.00,96.60,103.36,368.35,328.22
328,warmup_CV,0,96.55,512.00,122.47,129.79,386.10,375.07
433,warmup_CV,0,91.70,512.00,51.55,59.04,321.71,359.85
543,warmup_CV,0,92.07,512.00,99.62,107.14,371.25,428.32
646,warmup_CV,0,92.38,512.00,105.87,113.36,375.65,271.82
751,warmup_CV,0,92.51,512.00,127.06,134.55,395.30,303.97
857,warmup_CV,0,92.73,512.00,162.25,169.73,426.50,445.96
961,CV,1,93.03,512.00,172.93,180.21,431.15,307.74
1064,CV,1,91.82,512.00,120.05,127.57,388.16,350.58
1169,CV,2,92.13,512.00,108.29,115.69,367.79,361.91
1276,CV,3,92.44,512.00,100.50,107.60,351.84,307.16
1378,CV,3,92.54,512.00,135.55,142.92,393.52,422.17
1483,CV,4,92.86,512.00,132.43,139.46,388.32,295.80
1591,CV,4,93.23,512.00,186.50,193.79,446.05,395.03
1702,CV,5,93.44,512.00,168.14,175.45,425.41,326.90
1811,CV,6,91.62,512.00,72.84,80.22,342.60,384.22
1914,CV,6,91.81,512.00,104.06,111.65,375.73,483.22
2021,CV,7,92.41,512.00,103.69,110.95,366.78,253.17
2126,CV,7,92.76,512.00,168.32,175.77,431.20,429.92
2235,CV,8,93.25,512.00,156.63,164.08,417.68,237.76
2344,CV,8,91.46,512.00,156.45,164.07,432.64,423.41
2456,CV,9,92.08,512.00,85.79,93.69,364.81,321.01
2567,CV,9,92.38,512.00,139.01,146.83,417.32,385.69
2681,CV,10,92.95,512.00,141.41,149.25,419.98,324.56
2790,CV,10,93.03,512.00,160.11,167.94,432.86,330.30
2900,CV,11,93.57,512.00,185.31,192.99,458.93,391.00
3007,CV,11,91.72,512.00,78.72,86.61,354.16,310.65
3114,CV,12,92.35,512.00,111.68,119.47,388.72,400.50
3216,CV,13,92.88,512.00,111.20,118.70,377.64,235.58
3320,CV,13,92.95,512.00,175.87,183.59,446.49,421.32
3429,CV,14,93.39,512.00,169.01,176.61,445.12,285.41
3541,CV,14,91.50,512.00,125.04,132.77,399.87,364.37
3650,CV,15,92.29,512.00,104.73,112.49,378.06,330.47
3761,CV,16,92.84,512.00,101.59,109.30,366.18,315.00
3870,CV,16,92.99,512.00,148.58,156.23,426.89,358.39
3976,CV,17,93.53,512.00,148.15,155.72,420.41,245.84
4079,CV,17,91.46,512.00,175.31,183.08,445.56,398.67
4184,CV,18,92.35,512.00,95.44,103.34,371.63,324.37
4292,CV,18,92.45,512.00,139.17,147.08,417.29,359.52
4401,CV,19,92.97,512.00,136.86,144.80,414.61,393.61
4515,CV,19,93.08,512.00,152.48,160.38,429.04,317.72
4626,CV,20,93.62,512.00,185.45,193.24,460.00,375.96
4733,CV,21,92.01,512.00,74.53,82.21,333.73,328.24
4840,CV,21,92.11,512.00,127.35,135.29,405.34,393.00
4948,CV,22,92.67,512.00,111.35,118.96,385.27,259.86
5052,CV,22,92.78,512.00,176.02,183.84,449.01,375.34
5162,CV,23,93.52,512.00,169.10,176.86,448.32,316.83
5269,CV,23,91.55,512.00,123.71,131.46,397.83,372.54
5378,CV,24,92.11,512.00,95.52,103.59,373.19,339.52
