t_ms,cpu_pct,ram_mb
1013.1,85.80,702.78
2020.2,156.70,874.04
3028.7,151.80,843.86
4029.4,146.80,823.62
5030.0,174.90,823.99
6030.4,134.30,824.63
7030.9,157.80,824.84
8031.3,185.90,859.35
9032.2,149.90,825.30
10032.9,145.20,825.24
11033.3,157.80,819.93
12034.1,167.10,825.54
13039.7,161.60,825.63
14046.6,155.20,823.43
15046.9,145.30,824.35
16047.4,179.60,824.49
17048.5,145.20,825.05
18049.5,156.10,825.52
19050.3,193.60,821.82
20051.1,135.80,825.76
21051.6,153.00,825.86
22052.1,174.90,844.60
23052.5,149.90,824.06
24052.9,137.40,875.20
25053.7,178.00,915.44
26054.6,135.80,880.16
27055.2,128.10,898.11
28055.6,189.00,897.43
29056.4,173.30,880.64
30057.1,123.40,898.37
31068.5,203.90,898.15
32069.4,176.40,881.20
33070.5,151.40,898.22
34077.7,180.00,898.40
35086.8,170.30,925.26
36087.1,153.10,881.29
37091.6,152.40,881.41
38092.5,174.90,863.87
39093.1,167.10,881.54
40093.7,204.60,849.13
41094.4,160.80,881.97
42095.2,126.50,882.06
43095.7,142.10,882.91
44096.2,142.10,883.33
45097.1,173.30,884.57
46097.8,135.80,884.81
47098.2,173.40,885.05
48099.0,153.00,867.30
49099.8,148.30,885.32
50100.5,165.50,885.68
51101.0,142.10,886.09
52108.0,130.40,886.25
53112.8,144.60,886.36
54113.3,140.60,886.38
55114.1,156.10,886.38
56114.6,137.40,886.19
57115.0,151.50,886.95
58115.7,193.60,886.87
59116.3,146.80,887.02
60116.7,145.30,887.39
61117.3,154.60,930.15
62117.9,164.00,930.58
63118.3,149.90,930.73
64118.7,145.30,930.73
65119.0,176.50,931.05
66119.3,173.40,931.14
67119.8,142.10,931.46
68120.8,157.70,938.15
69121.9,134.20,930.66
70122.9,138.90,932.40
71123.3,135.90,932.53
72123.6,159.30,932.57
73124.2,187.40,933.21
74124.8,142.10,915.96
75125.1,153.10,935.28
76125.6,143.70,935.43
77126.0,140.60,935.69
78126.7,187.40,935.90
79127.1,154.60,981.05
80127.6,159.30,938.00
81128.4,159.30,938.05
82128.8,151.50,938.25
83129.4,176.50,938.45
84129.9,124.90,885.97
85130.6,131.20,917.95
86131.3,131.20,901.15
