t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.0,1,0,86.53,88.16,4192.00,121.81,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
117.1,1,0,86.53,88.16,4192.00,0.00,0.00,17.08,0.1708,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
304.5,1,0,86.53,88.16,4192.00,0.00,0.00,87.35,0.8735,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
491.8,1,1,86.53,87.91,4192.00,0.00,0.00,87.35,0.8735,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
687.6,1,1,86.53,87.91,4192.00,0.00,0.00,95.80,0.9580,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
874.3,1,2,86.58,88.16,4192.00,121.81,0.00,86.67,0.8667,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
998.9,1,2,86.53,87.66,4192.00,0.00,0.00,24.58,0.2458,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
1186.4,1,2,86.53,87.66,4192.00,0.00,0.00,87.58,0.8758,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
1373.9,1,3,86.54,87.91,4192.00,0.00,0.00,87.42,0.8742,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
1561.5,1,3,86.54,87.91,4192.00,0.00,0.00,87.60,0.8760,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
1748.7,1,4,86.54,87.91,4192.00,0.00,0.00,87.28,0.8728,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
1936.4,1,4,86.54,87.91,4192.00,0.00,0.00,87.66,0.8766,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
2124.9,1,5,86.54,87.91,4192.00,121.81,0.00,88.51,0.8851,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
2228.2,1,5,86.54,87.91,4192.00,0.00,0.00,3.30,0.0330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
2418.4,1,5,86.54,87.91,4192.00,0.00,0.00,90.16,0.9016,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
2603.0,1,6,86.55,87.66,4192.00,0.00,0.00,84.68,0.8468,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
2790.5,1,6,86.55,87.66,4192.00,0.00,0.00,87.50,0.8750,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
2978.5,1,7,86.55,87.91,4192.00,0.00,0.00,87.97,0.8797,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
3165.5,1,7,86.55,87.91,4192.00,0.00,0.00,86.95,0.8695,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
3353.3,1,8,86.60,88.16,4192.00,121.81,0.00,87.79,0.8779,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
3498.8,1,8,86.55,87.66,4192.00,0.00,0.00,45.59,0.4559,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
3687.0,1,8,86.55,87.66,4192.00,0.00,0.00,88.19,0.8819,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
3874.6,1,9,86.61,87.91,4192.00,121.81,0.00,87.59,0.8759,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
4061.6,1,9,86.56,87.91,4192.00,0.00,0.00,86.98,0.8698,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
4254.8,1,9,86.56,87.91,4192.00,0.00,0.00,93.16,0.9316,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
4443.5,1,10,86.56,87.66,4192.00,0.00,0.00,88.70,0.8870,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
4630.8,1,10,86.56,87.66,4192.00,0.00,0.00,87.37,0.8737,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
4818.1,1,11,86.56,87.91,4192.00,121.81,0.00,87.25,0.8725,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
4922.5,1,11,86.56,87.91,4192.00,0.00,0.00,4.39,0.0439,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
5111.2,1,11,86.56,87.91,4192.00,0.00,0.00,88.70,0.8870,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
5306.1,1,12,86.57,87.66,4192.00,0.00,0.00,94.95,0.9495,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
5492.1,1,12,86.57,87.66,4192.00,0.00,0.00,85.98,0.8598,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:40:33.975Z,"batch-detect cv nitro5 n=179"
