t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.0,1,0,87.45,89.17,4192.00,128.44,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
126.5,1,0,87.46,89.17,4192.00,128.44,0.00,26.48,0.2648,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
231.8,1,0,87.46,89.17,4192.00,128.44,0.00,5.32,0.0532,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
338.3,1,0,87.46,89.17,4192.00,128.44,0.00,6.50,0.0650,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
443.2,1,0,87.46,89.17,4192.00,128.44,0.00,4.86,0.0486,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
549.2,1,0,87.46,89.17,4192.00,0.00,0.00,5.96,0.0596,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
740.7,1,1,87.45,88.92,4192.00,128.44,0.00,91.51,0.9151,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
858.5,1,1,87.46,88.92,4192.00,128.44,0.00,17.82,0.1782,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
965.8,1,1,87.46,88.92,4192.00,128.44,0.00,7.36,0.0736,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1074.3,1,1,87.46,88.92,4192.00,128.44,0.00,8.42,0.0842,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1178.9,1,1,87.46,88.92,4192.00,0.00,0.00,4.67,0.0467,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1363.0,1,2,87.46,89.17,4192.00,128.44,0.00,84.08,0.8408,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1472.6,1,2,87.46,89.17,4192.00,128.44,0.00,9.59,0.0959,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1579.6,1,2,87.46,89.17,4192.00,128.44,0.00,7.00,0.0700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1685.0,1,2,87.46,89.17,4192.00,128.44,0.00,5.38,0.0538,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1789.4,1,2,87.46,89.17,4192.00,0.00,0.00,4.42,0.0442,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
1977.2,1,3,87.46,88.92,4192.00,128.44,0.00,87.83,0.8783,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
2101.8,1,3,87.46,88.92,4192.00,128.44,0.00,24.52,0.2452,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:42:46.625Z,"batch-detect yolocorner nitro5 n=179"
