t_ms,cpu_pct,ram_mb
1013.7,48.40,918.62
2014.4,178.00,1132.53
3015.4,118.60,1338.43
4016.0,201.50,1389.78
5016.6,176.50,1515.43
6017.2,137.40,1532.83
7017.7,193.70,1555.53
8018.6,168.60,1573.45
9019.0,150.00,1579.18
10019.6,179.60,1583.17
11020.1,137.40,1584.21
12020.8,174.90,1573.81
13021.5,143.70,1590.87
14022.1,168.70,1588.90
15022.8,137.40,1351.72
16023.6,162.40,1195.95
17024.3,34.40,1210.17
18024.9,99.90,1210.49
19026.2,57.70,1210.48
20027.1,42.20,1210.55
21027.6,104.60,1195.39
22028.3,82.80,1170.73
23028.7,50.00,1196.28
24029.6,70.30,1196.78
25030.2,82.80,1197.57
26031.5,39.00,1198.21
27032.5,71.80,1199.07
28033.4,87.40,1199.88
29033.9,42.20,1200.34
30034.7,54.60,1186.87
31035.1,79.70,1187.19
32036.1,54.60,1187.20
33036.6,96.80,1183.61
34037.1,73.40,1173.89
35037.8,32.80,1182.98
36038.5,118.70,1244.28
37043.4,56.00,1270.23
38044.1,60.90,1271.17
39045.2,74.90,1309.58
40046.3,51.50,1271.60
41046.6,84.30,1239.46
42048.1,51.50,1271.95
43048.8,95.20,1240.57
44049.3,48.40,1272.68
45049.8,84.30,1269.93
46061.3,54.10,1270.39
47062.3,60.90,1315.98
48062.9,65.60,1271.41
49063.6,68.70,1268.15
50064.5,78.10,1265.25
51065.0,40.60,1271.90
52065.5,82.80,1317.27
53066.8,43.70,1272.22
54067.5,65.60,1307.22
55068.0,39.00,1317.66
56068.5,101.50,1272.63
57073.7,71.50,1269.62
58074.6,53.10,1273.78
59075.6,78.10,1309.43
60076.5,48.40,1320.22
61077.0,62.50,1274.90
62077.6,53.10,1289.05
63078.4,39.00,1274.95
64078.8,104.70,1271.91
65079.2,54.70,1321.13
66079.6,64.00,1275.86
67080.1,85.90,1316.80
68081.1,43.70,1276.30
69081.9,74.90,1259.27
70082.7,50.00,1325.66
71083.1,53.10,1263.42
72083.9,78.10,1309.73
73084.7,60.90,1263.83
74085.4,65.60,1261.36
75086.3,78.10,1250.99
76087.2,39.00,1265.12
77087.6,60.90,1310.53
78088.2,68.70,1282.14
79088.7,59.30,1261.08
80089.7,64.00,1265.04
81092.5,43.60,1264.92
82093.2,65.60,1311.18
83093.9,71.80,1272.86
84094.6,40.60,1261.73
85095.4,76.50,1264.24
86096.1,54.70,1264.26
87096.6,73.40,1310.84
88097.5,37.50,1304.52
89098.1,87.50,1300.25
90098.9,68.70,1319.25
91099.4,48.40,1300.60
92100.1,79.60,1300.65
93100.7,90.60,1300.71
94101.5,51.50,1305.54
95102.1,75.00,1339.76
96102.9,70.30,1305.86
97103.6,67.10,1337.04
98104.9,67.10,1305.75
99109.5,52.90,1306.69
100110.7,49.90,1306.95
101111.8,93.70,1307.06
102112.6,51.50,1307.14
103113.2,75.00,1307.31
104114.0,87.40,1326.28
105114.9,70.20,1308.34
106116.3,98.30,1360.04
107116.7,32.80,1308.61
108117.6,82.70,1308.98
109118.2,45.30,1308.75
110118.8,81.20,1308.91
111119.6,65.60,1309.04
112120.3,53.10,1309.21
113121.0,68.70,1309.35
114121.7,43.70,1309.42
115122.5,76.50,1309.42
116123.5,46.80,1309.94
117124.2,99.90,1310.12
118124.5,42.20,1310.24
119125.1,62.50,1347.41
120125.9,46.80,1288.27
121126.4,45.30,1338.09
122127.0,71.80,1363.40
123134.3,62.10,1314.95
124135.1,12.50,1315.20
125135.8,4.70,1315.07
