t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.7,1,0,33.17,38.01,4096.00,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
562.3,1,0,33.18,38.01,4096.00,0.00,0.00,461.65,4.6165,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
2555.8,1,1,73.79,76.07,4096.00,122.38,0.00,1893.45,18.9345,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
3555.2,1,2,116.15,118.63,4096.00,122.38,0.00,899.48,8.9948,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
4559.4,1,2,73.69,74.57,4096.00,122.38,0.00,904.19,9.0419,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
5561.2,1,3,116.07,117.13,4096.00,122.38,0.00,901.80,9.0180,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
6563.6,1,4,116.00,117.38,4096.00,122.38,0.00,902.38,9.0238,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
7563.9,1,4,73.62,75.07,4096.00,122.38,0.00,900.33,9.0033,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
8561.3,1,5,116.01,117.63,4096.00,122.38,0.00,897.41,8.9741,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
9559.5,1,5,69.67,73.87,4096.00,0.00,0.00,898.14,8.9814,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
11558.9,1,6,69.47,70.87,4096.00,0.00,0.00,1899.43,18.9943,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
13550.6,1,8,111.78,113.18,4096.00,122.38,0.00,1891.63,18.9163,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
14561.8,1,8,69.44,70.37,4096.00,122.38,0.00,911.25,9.1125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
15558.0,1,9,69.43,70.62,4096.00,122.38,0.00,896.18,8.9618,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
16561.7,1,10,111.79,113.18,4096.00,122.38,0.00,903.71,9.0371,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
18556.7,1,11,111.81,113.43,4096.00,122.38,0.00,1895.00,18.9500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
19556.2,1,11,69.43,70.37,4096.00,0.00,0.00,899.47,8.9947,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
21553.4,1,12,69.42,70.62,4096.00,0.00,0.00,1897.28,18.9728,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
23564.7,1,13,69.44,70.87,4096.00,0.00,0.00,1911.26,19.1126,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
25560.0,1,14,69.42,70.62,4096.00,0.00,0.00,1895.35,18.9535,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
27564.7,1,15,69.42,70.87,4096.00,0.00,0.00,1904.66,19.0466,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
29556.1,1,16,69.45,70.37,4096.00,0.00,0.00,1891.36,18.9136,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T09:59:36.021Z,"batch-detect cv pc n=179"
