t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.3,1,0,61.14,65.06,4096.00,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
878.4,1,0,56.47,60.97,4096.00,0.00,0.00,778.13,7.7813,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
2872.7,1,1,98.10,100.26,4096.00,0.00,0.00,1894.31,18.9431,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
4884.7,1,3,139.48,141.84,4096.00,0.00,122.38,1912.00,19.1200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
5869.7,1,3,94.95,98.58,4096.00,0.00,122.38,885.03,8.8503,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
6878.5,1,4,137.33,141.14,4096.00,0.00,122.38,908.76,9.0876,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
7874.5,1,4,94.63,96.58,4096.00,0.00,0.00,896.00,8.9600,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
9874.3,1,5,94.49,96.33,4096.00,0.00,0.00,1899.85,18.9985,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
11884.7,1,6,94.48,96.33,4096.00,0.00,0.00,1910.33,19.1033,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
13877.3,1,7,94.51,95.83,4096.00,0.00,0.00,1892.60,18.9260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
15881.3,1,8,94.50,96.08,4096.00,0.00,0.00,1904.05,19.0405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
17871.0,1,9,94.50,96.33,4096.00,0.00,0.00,1889.67,18.8967,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
19878.8,1,10,94.51,95.83,4096.00,0.00,0.00,1907.81,19.0781,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
21869.5,1,11,94.49,96.08,4096.00,0.00,122.38,1890.66,18.9066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
22881.7,1,11,94.51,96.08,4096.00,0.00,0.00,912.28,9.1228,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
24874.0,1,13,136.85,138.90,4096.00,0.00,122.38,1892.28,18.9228,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-05-26T10:17:06.789Z,"batch-detect yolo pc n=179"
