t_ms,cpu_pct,ram_mb
1007.6,228.00,611.00
2008.1,189.00,626.35
3008.5,179.60,613.32
4008.7,181.20,637.45
5009.3,187.40,626.76
6009.6,197.50,627.29
7014.5,156.20,627.66
8015.6,170.10,628.63
9016.1,204.60,628.94
10016.4,203.10,629.32
11016.7,204.60,627.01
12017.2,157.70,701.11
13017.7,176.50,660.84
14018.2,190.50,679.75
15018.9,162.30,681.03
16020.4,195.10,681.34
17020.7,195.30,682.39
18020.9,176.50,664.98
19021.3,181.20,657.62
20022.2,154.40,700.58
21023.3,187.40,697.50
22024.2,160.80,698.57
23024.6,170.20,699.12
24024.8,185.90,682.12
25025.1,160.90,700.20
26026.4,176.30,700.41
27026.9,168.70,701.05
28027.5,162.40,701.60
29029.2,161.80,745.07
30034.5,130.90,749.32
31034.7,150.00,749.87
32035.3,146.80,749.76
33035.9,162.40,750.17
34036.6,160.80,750.52
35039.2,158.90,751.46
36039.8,157.80,752.02
37040.0,150.00,752.44
38040.5,143.60,753.25
39040.9,151.50,753.70
40041.7,159.30,752.40
41042.1,46.90,717.52
