t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.6,1,0,85.47,86.65,4192.00,146.19,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
107.0,1,0,85.48,86.65,4192.00,0.00,0.00,6.39,0.0639,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
298.6,1,1,85.47,86.90,4192.00,0.00,0.00,91.65,0.9165,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
501.6,1,2,85.47,87.14,4192.00,0.00,0.00,103.01,1.0301,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
689.5,1,3,85.47,86.65,4192.00,0.00,0.00,87.86,0.8786,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
880.1,1,4,85.49,87.65,4192.00,0.00,0.00,90.64,0.9064,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
1070.2,1,5,85.49,87.15,4192.00,0.00,0.00,90.09,0.9009,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
1274.5,1,6,85.49,86.90,4192.00,0.00,0.00,104.28,1.0428,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
1457.2,1,7,85.50,86.90,4192.00,0.00,0.00,82.73,0.8273,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
1645.4,1,8,85.50,86.40,4192.00,0.00,0.00,88.14,0.8814,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:36:05.196Z,"batch-detect cv pcgaming n=179"
