t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,212.80,213.59,4192.00,128.44,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
108.5,1,1,255.17,256.15,4192.00,128.44,0.00,8.42,0.0842,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
234.8,1,3,339.90,340.77,4192.00,128.44,0.00,26.25,0.2625,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
381.6,1,4,382.26,383.08,4192.00,128.44,0.00,46.87,0.4687,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
484.3,1,5,424.62,425.39,4192.00,128.44,0.00,2.72,0.0272,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
616.4,1,6,466.98,467.95,4192.00,128.44,0.00,32.06,0.3206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
720.4,1,7,509.02,509.76,4192.00,128.44,0.00,3.97,0.0397,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
822.0,1,8,550.91,552.05,4192.00,128.44,0.00,1.61,0.0161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
945.7,1,10,127.92,128.96,4192.00,128.44,0.00,23.77,0.2377,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1093.0,1,11,170.28,171.27,4192.00,128.44,0.00,47.25,0.4725,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1214.4,1,12,212.64,213.58,4192.00,128.44,0.00,21.41,0.2141,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1328.3,1,13,255.01,256.14,4192.00,128.44,0.00,13.88,0.1388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1431.3,1,15,339.73,340.76,4192.00,128.44,0.00,3.02,0.0302,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1576.7,1,16,382.09,383.07,4192.00,128.44,0.00,45.36,0.4536,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1676.8,1,17,424.45,425.39,4192.00,128.44,0.00,0.17,0.0017,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1781.5,1,18,466.81,467.95,4192.00,128.44,0.00,4.70,0.0470,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
1897.2,1,19,509.18,510.26,4192.00,128.44,0.00,15.72,0.1572,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
2017.0,1,20,551.54,552.57,4192.00,128.44,0.00,19.75,0.1975,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-22T09:35:08.514Z,"batch-detect yolocorner pcgaming n=179"
