t_ms,cpu_pct,ram_mb
1005.9,140.60,554.98
2006.2,209.30,993.78
3006.6,249.90,969.27
4007.2,209.30,762.11
5009.3,171.50,1143.93
6009.9,142.10,847.93
7010.1,159.30,1216.39
8011.1,153.00,760.13
9011.6,93.70,1011.91
10012.2,109.30,1323.95
11012.9,106.20,765.49
12013.1,125.00,1058.03
13013.5,107.80,1315.94
14013.9,100.00,747.95
15014.2,118.70,1039.01
16014.6,82.80,1290.51
17015.8,84.30,752.82
18021.2,130.60,1064.85
19021.6,112.50,1292.72
20021.8,121.90,755.14
21022.2,143.70,1029.55
22022.7,110.90,1337.13
23023.3,156.20,799.77
24023.9,143.70,1083.95
25024.2,115.60,1401.23
26024.7,109.30,801.28
27025.2,101.50,1152.63
28025.4,131.20,1350.73
29025.9,139.00,895.86
30027.7,135.70,1105.40
31028.0,120.30,1384.05
32028.4,85.90,802.72
