t_ms,cpu_pct,ram_mb
1.0,4.0,207.8
1750.8,2.0,210.8
3386.1,44.0,213.3
4996.2,139.0,222.9
6602.5,198.0,223.1
8218.6,185.0,217.7
9862.2,147.0,215.4
11518.9,158.0,210.0
13156.7,158.0,211.6
14807.1,149.0,214.5
16541.7,157.0,215.9
18251.0,160.0,209.8
19965.7,156.0,212.4
21624.5,155.0,213.2
23278.3,162.0,215.6
25006.8,170.0,209.8
26662.7,156.0,211.3
28306.5,155.0,213.9
29994.3,160.0,215.3
31659.5,159.0,209.8
33345.5,130.0,210.8
35057.0,160.0,213.0
36733.7,157.0,215.4
38407.2,200.0,216.9
40088.4,150.0,209.5
41726.0,156.0,212.2
43404.3,175.0,214.2
45062.3,156.0,215.7
46736.6,161.0,209.1
48429.9,155.0,210.8
50110.7,165.0,213.6
51797.0,158.0,215.2
53487.2,159.0,208.6
55183.5,175.0,210.9
56861.0,156.0,211.8
58503.7,143.0,202.0
60253.2,155.0,195.0
61907.4,155.0,196.7
63523.6,142.0,199.8
65156.3,163.0,201.4
66750.0,160.0,192.2
68452.6,166.0,193.7
70138.1,161.0,194.6
71811.0,168.0,196.9
73492.9,148.0,197.7
75172.1,155.0,192.1
76847.7,126.0,193.7
78526.2,147.0,194.6
80231.2,145.0,196.2
81940.6,155.0,191.5
83618.7,149.0,192.6
85307.9,143.0,193.8
86966.2,143.0,196.0
88585.4,140.0,197.4
90168.4,142.0,192.0
91789.5,118.0,193.4
93388.3,162.0,195.5
95039.1,156.0,197.7
96768.6,4.0,197.8
98507.4,1.0,191.4
100248.9,19.0,192.1
101913.8,3.0,192.0
103558.1,6.0,191.6
105188.3,2.0,191.8
106825.1,11.0,197.6
108459.5,113.0,213.5
110124.3,129.0,208.3
111791.0,108.0,208.4
113462.8,59.0,206.9
115104.6,128.0,207.1
116829.6,88.0,207.0
118592.9,108.0,207.2
120246.3,75.0,206.7
121920.2,128.0,207.3
123620.4,81.0,207.4
125358.4,137.0,207.4
127067.7,104.0,206.8
128782.1,123.0,207.4
130465.0,122.0,206.8
132265.4,132.0,207.4
133961.0,125.0,206.7
135716.3,90.0,206.8
137437.3,129.0,206.8
139146.7,102.0,206.7
140872.2,137.0,207.2
142578.2,117.0,206.7
144351.3,116.0,206.9
146011.5,125.0,206.6
147780.1,100.0,206.6
149547.7,134.0,207.0
151231.4,126.0,206.5
153034.0,91.0,206.5
154786.7,127.0,206.5
156514.7,138.0,206.4
158263.1,115.0,206.5
160103.9,124.0,206.9
161804.9,129.0,206.3
163499.5,104.0,206.2
165218.8,104.0,211.2
166957.7,135.0,206.9
168690.7,114.0,206.2
170400.6,101.0,206.3
172172.5,128.0,206.8
173952.8,119.0,206.2
175733.5,103.0,206.3
177406.8,131.0,206.6
179197.3,135.0,206.1
180922.0,93.0,206.1
182570.1,106.0,206.7
184233.0,139.0,206.1
185902.8,124.0,206.1
187638.5,90.0,206.2
189402.7,139.0,206.7
191127.3,145.0,206.1
192843.9,115.0,206.1
194627.9,98.0,206.1
196328.3,127.0,206.0
198068.0,132.0,206.6
199775.4,121.0,206.0
