t_ms,cpu_pct,ram_mb
0.0,9.0,191.6
1575.5,4.0,191.8
3140.6,42.0,197.3
4748.9,92.0,213.3
6335.7,128.0,208.3
7967.0,97.0,208.4
9641.6,74.0,207.3
11346.6,107.0,207.1
13007.9,88.0,207.6
14693.7,108.0,207.3
16426.7,75.0,206.8
18099.5,129.0,207.3
19804.9,81.0,207.4
21450.1,128.0,207.4
23128.6,116.0,206.8
24854.2,124.0,207.4
26642.5,121.0,206.8
28375.2,120.0,207.2
30069.9,123.0,206.7
31827.1,90.0,206.8
33544.1,129.0,206.6
35250.5,102.0,206.7
36982.5,132.0,207.2
38679.9,118.0,206.7
40484.1,117.0,206.9
42202.3,115.0,206.6
43953.5,100.0,206.6
45723.5,141.0,207.1
47401.1,124.0,206.5
49141.8,91.0,206.5
50971.9,132.0,206.5
52687.5,138.0,206.4
54440.0,115.0,206.5
56204.7,103.0,206.9
57916.6,128.0,206.3
59677.8,103.0,206.2
61389.6,104.0,206.3
63061.5,135.0,206.9
64793.7,120.0,206.2
66581.1,98.0,206.3
68346.8,128.0,206.8
70130.6,121.0,206.2
71838.7,103.0,206.3
73594.1,135.0,206.6
75296.1,137.0,206.1
77026.7,93.0,206.1
78736.3,112.0,206.7
80419.4,120.0,206.1
82091.2,118.0,206.1
83808.5,97.0,206.1
85510.5,132.0,206.7
87235.1,144.0,206.1
89023.1,115.0,206.1
90791.7,98.0,206.1
92501.2,130.0,206.0
94180.3,132.0,206.5
95884.7,117.0,206.0
97600.7,106.0,206.5
99333.8,118.0,206.7
101076.2,135.0,206.1
102779.5,106.0,206.1
104497.1,97.0,206.5
106230.3,151.0,206.3
107963.8,111.0,206.2
109719.4,98.0,206.2
111438.5,115.0,206.3
113194.5,141.0,206.1
114938.5,108.0,206.3
116682.2,95.0,206.8
118382.5,128.0,206.3
120095.2,138.0,206.9
121834.4,124.0,206.3
123527.0,94.0,206.9
125269.9,143.0,207.0
126990.3,131.0,207.0
128744.9,105.0,207.0
130489.9,100.0,206.9
132213.0,146.0,206.9
133886.5,138.0,207.1
135577.5,120.0,207.1
137406.6,100.0,207.1
139276.4,121.0,207.0
141124.5,98.0,206.0
142951.7,128.0,207.1
144825.4,119.0,206.5
146685.4,83.0,207.0
148506.6,1.0,207.0
150335.9,3.0,205.9
152119.3,3.0,205.9
153815.1,2.0,205.9
155565.6,9.0,205.9
157273.8,2.0,205.2
159013.5,2.0,205.2
160695.5,1.0,205.2
162397.0,1.0,205.1
164228.3,1.0,205.1
166112.4,2.0,205.2
167995.4,0.0,205.1
169829.8,0.0,205.1
171683.5,1.0,205.1
173464.1,4.0,205.2
175292.4,2.0,205.3
177162.9,3.0,206.0
179043.0,2.0,205.7
180875.5,2.0,206.0
182748.6,7.0,205.9
184667.0,2.0,205.7
186467.7,3.0,206.0
188279.7,1.0,206.0
190153.5,3.0,205.6
192021.3,1.0,205.6
193823.2,1.0,205.6
195664.2,1.0,205.6
197494.2,3.0,205.6
199315.6,2.0,205.6
201174.7,2.0,205.6
203015.4,1.0,205.6
204839.7,1.0,205.6
206731.7,2.0,205.6
208594.9,1.0,205.6
210389.0,3.0,205.6
212227.2,1.0,205.6
214057.8,1.0,205.6
215808.9,0.0,205.6
217662.0,2.0,205.6
219535.4,1.0,205.6
221431.3,0.0,205.6
223192.3,6.0,206.3
224890.1,1.0,206.3
226636.8,1.0,206.3
228364.4,1.0,206.3
230095.9,1.0,206.3
231819.1,1.0,206.3
233544.0,1.0,206.3
235265.4,1.0,206.3
236989.1,1.0,206.3
238667.0,2.0,206.3
240381.5,3.0,206.3
242143.4,0.0,206.3
243884.7,1.0,206.3
245630.3,0.0,206.3
247356.0,2.0,206.2
249059.3,1.0,206.2
250809.1,1.0,206.2
252537.2,1.0,206.2
254292.6,1.0,206.2
256005.3,2.0,206.2
257708.2,3.0,206.2
259396.6,1.0,206.2
261148.0,0.0,206.2
262876.2,2.0,206.2
264601.6,3.0,206.3
266354.7,0.0,206.2
268113.8,1.0,206.2
269864.1,2.0,206.3
271575.2,1.0,207.3
273313.8,1.0,206.3
274991.1,0.0,206.3
276735.8,2.0,204.4
278452.4,2.0,204.4
280154.0,1.0,204.4
281863.5,1.0,204.4
283553.8,1.0,204.4
285283.5,7.0,204.7
287016.1,1.0,204.7
288762.6,1.0,204.7
290520.0,2.0,204.7
292306.6,1.0,204.7
294106.4,4.0,204.7
295860.0,1.0,204.7
297554.4,1.0,204.7
299239.5,2.0,204.7
