t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.0,1,0,214.58,214.58,1077.65,121.81,0.00,0.00,0.0000,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
108.6,1,0,214.58,214.58,1077.65,0.00,0.00,8.56,0.0856,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
289.1,1,0,214.58,214.58,1077.65,0.00,0.00,80.52,0.8052,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
471.0,1,1,214.58,214.58,1077.65,0.00,0.00,81.86,0.8186,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
651.9,1,1,214.58,214.58,1077.65,0.00,0.00,80.91,0.8091,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
832.7,1,2,214.58,214.58,1077.65,0.00,0.00,80.86,0.8086,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
1013.3,1,2,214.58,214.58,1077.65,0.00,0.00,80.54,0.8054,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
1194.2,1,3,214.58,214.58,1077.65,0.00,0.00,80.96,0.8096,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
1375.0,1,3,214.58,214.58,1077.65,0.00,0.00,80.79,0.8079,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
1556.1,1,4,214.58,214.58,1077.65,0.00,0.00,81.04,0.8104,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
1737.3,1,4,214.58,214.58,1077.65,0.00,0.00,81.29,0.8129,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
1918.6,1,5,214.58,214.58,1077.65,0.00,0.00,81.29,0.8129,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
2099.6,1,5,214.58,214.58,1077.65,0.00,0.00,81.01,0.8101,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
2280.3,1,6,214.58,214.58,1077.65,121.81,0.00,80.63,0.8063,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
2382.0,1,6,214.58,214.58,1077.65,0.00,0.00,1.70,0.0170,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
2563.3,1,7,214.58,214.58,1077.65,121.81,0.00,81.39,0.8139,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
2734.4,1,7,214.58,214.58,1077.65,0.00,0.00,71.03,0.7103,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
2915.5,1,7,214.58,214.58,1077.65,0.00,0.00,81.11,0.8111,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-18T09:24:54.909Z,"batch-detect cv mobile n=179"
