t_ms,cpu_pct,ram_mb
0.0,1.0,203.3
1583.5,5.0,201.2
3224.7,63.0,201.8
4848.4,168.0,203.6
6445.0,168.0,204.7
8058.8,172.0,205.3
9734.8,190.0,202.3
11431.6,188.0,202.9
13076.0,167.0,203.6
14730.1,157.0,202.4
16393.2,161.0,203.9
18064.1,192.0,203.0
19766.2,186.0,204.0
21429.1,191.0,201.7
23120.0,163.0,203.2
24790.1,189.0,203.6
26407.1,194.0,202.4
28068.1,189.0,202.5
29731.6,189.0,202.3
31391.0,167.0,202.5
33018.8,168.0,202.8
34668.9,200.0,202.5
36353.7,189.0,202.7
38004.8,174.0,202.4
39679.4,175.0,202.6
41333.0,198.0,201.8
42975.5,190.0,202.8
44632.0,188.0,203.1
46283.0,156.0,202.4
47957.1,174.0,203.1
49625.3,187.0,202.3
51282.7,199.0,202.5
53002.9,168.0,202.6
54713.1,160.0,202.5
56351.2,161.0,202.5
57999.3,151.0,202.2
59682.4,152.0,202.6
61309.1,165.0,201.3
62952.1,159.0,202.5
64615.7,152.0,202.8
66290.2,154.0,202.1
67973.2,161.0,202.1
69673.9,162.0,202.1
71397.1,183.0,202.5
73007.9,156.0,202.9
74687.1,150.0,202.6
76374.7,156.0,203.1
78040.8,158.0,202.5
79688.4,2.0,202.5
81434.5,3.0,201.0
83161.1,4.0,201.9
