t_ms,cpu_pct,ram_mb
2.6,1.0,229.4
1984.9,5.0,228.7
3866.5,101.0,229.0
5561.7,101.0,234.3
7413.8,119.0,236.0
9230.2,95.0,236.4
11103.2,61.0,237.6
12876.8,69.0,238.4
14619.8,82.0,239.9
16422.9,87.0,236.2
18230.0,73.0,235.6
20020.1,90.0,237.2
21789.1,82.0,237.9
23600.0,73.0,239.0
25400.0,96.0,240.3
27264.9,75.0,234.8
29063.5,69.0,235.3
30877.5,98.0,236.1
32644.0,68.0,237.1
34411.2,78.0,238.3
36219.3,80.0,239.3
38009.8,73.0,234.5
39812.1,90.0,235.0
41599.3,98.0,234.1
43335.2,82.0,234.0
45038.9,73.0,233.5
46842.3,92.0,235.3
48625.7,100.0,235.4
50432.1,81.0,234.2
52254.5,78.0,234.2
54078.0,74.0,234.1
55848.8,81.0,234.3
57764.0,87.0,234.1
59544.2,98.0,234.2
61335.1,92.0,233.6
63074.2,77.0,234.2
64868.8,77.0,234.3
66622.2,81.0,234.1
68365.7,94.0,234.1
70181.2,100.0,234.1
72016.6,81.0,234.1
73787.3,75.0,233.7
75562.0,78.0,233.9
77334.8,87.0,233.8
79093.4,100.0,233.9
80868.5,94.0,234.0
82652.0,77.0,233.8
84414.7,81.0,234.4
86214.7,72.0,233.8
88018.2,89.0,233.0
89821.1,89.0,231.3
91566.7,84.0,229.5
93387.0,85.0,228.9
95249.3,74.0,230.0
97087.7,96.0,229.4
98845.5,98.0,229.5
100639.4,71.0,225.7
102408.0,77.0,225.6
104196.4,88.0,225.8
105973.2,85.0,225.6
107768.2,96.0,225.7
109653.7,71.0,225.5
111464.0,72.0,225.6
113250.4,84.0,219.8
115157.7,73.0,216.2
117046.7,91.0,212.5
118798.5,77.0,213.4
120501.2,63.0,213.8
122218.7,77.0,212.6
123999.7,86.0,212.9
125769.4,98.0,211.8
127566.6,72.0,212.1
129380.2,76.0,210.9
131159.8,87.0,205.5
132973.0,95.0,204.3
134779.8,80.0,205.2
136565.8,81.0,206.0
138359.5,77.0,205.2
140171.6,85.0,206.0
141991.1,90.0,205.3
143790.2,95.0,205.8
145585.3,91.0,205.3
147361.2,70.0,205.9
149188.4,73.0,204.2
151002.6,82.0,206.4
152781.9,84.0,206.1
154555.6,89.0,205.4
156316.9,1.0,205.4
158121.0,0.0,204.4
