t_ms,cpu_pct,ram_mb
2.0,0.0,248.6
2045.3,0.0,254.4
3847.6,77.0,246.6
5587.6,178.0,239.7
7320.2,237.0,238.7
9047.0,218.0,238.2
10836.5,194.0,239.5
12561.3,251.0,238.7
14340.0,180.0,238.4
16022.3,190.0,231.7
17700.9,271.0,233.9
19496.6,193.0,235.3
21203.5,188.0,235.4
22910.9,261.0,237.8
24589.5,169.0,233.7
26397.5,222.0,230.1
28073.7,224.0,229.1
29821.7,183.0,230.1
31490.2,259.0,230.8
33182.9,179.0,233.0
34901.9,231.0,231.4
36691.5,172.0,226.7
38407.0,205.0,228.2
40095.2,176.0,228.5
41850.0,252.0,230.4
43557.7,200.0,230.4
45277.5,204.0,225.5
46969.1,183.0,226.4
48725.5,247.0,225.7
50400.8,191.0,226.6
52062.6,241.0,225.4
53818.5,176.0,225.8
55484.4,223.0,226.6
57182.3,213.0,227.9
58954.5,211.0,226.9
60698.7,260.0,225.8
62357.2,203.0,226.6
64085.9,209.0,225.8
65817.9,241.0,226.3
67511.2,215.0,226.7
69244.6,204.0,225.8
70953.8,184.0,226.4
72717.5,191.0,226.4
74403.9,255.0,226.3
76153.3,207.0,226.2
77870.0,196.0,226.3
79579.6,244.0,227.1
81276.0,201.0,226.6
83029.7,194.0,226.7
84737.7,200.0,226.3
86487.7,249.0,227.1
88253.1,195.0,225.8
89951.7,243.0,226.5
91715.3,198.0,226.4
93425.8,208.0,225.4
95160.4,177.0,225.3
96867.3,182.0,219.9
98583.7,256.0,219.0
100287.7,199.0,218.9
102036.1,206.0,217.5
103722.0,192.0,215.0
105402.4,245.0,212.5
107111.6,191.0,213.3
108865.4,198.0,213.2
110579.1,202.0,213.9
112304.2,161.0,212.5
113996.6,200.0,212.1
115715.8,199.0,213.6
117440.3,152.0,211.6
119101.8,181.0,211.6
120758.0,181.0,211.2
122469.2,254.0,211.1
124167.1,208.0,211.8
125986.0,183.0,211.5
127695.1,194.0,212.2
129399.7,178.0,211.2
131106.7,185.0,210.9
132949.3,168.0,210.6
134655.9,191.0,211.1
136370.6,250.0,209.0
138058.6,219.0,211.0
139805.7,189.0,211.5
141531.6,202.0,211.2
143256.0,190.0,211.4
144945.5,188.0,210.0
146695.1,8.0,210.0
148507.0,1.0,208.3
150224.0,22.0,212.6
151932.0,2.0,209.3
153740.9,23.0,209.4
155501.5,4.0,209.7
157267.5,51.0,212.1
159030.6,142.0,215.3
160828.6,117.0,215.4
162626.7,160.0,214.6
164423.1,177.0,214.2
166108.4,144.0,213.6
167780.4,170.0,214.8
169557.2,147.0,214.9
171268.8,136.0,214.2
173036.7,158.0,214.2
174710.6,211.0,214.7
176434.2,143.0,214.0
178143.0,156.0,214.3
179871.2,161.0,212.9
181584.4,147.0,214.1
183335.7,134.0,213.2
185029.0,209.0,215.4
186787.6,179.0,214.6
188439.2,172.0,214.3
190129.0,198.0,215.7
191907.0,174.0,214.0
193684.9,154.0,215.6
195422.4,161.0,215.6
197214.5,110.0,214.3
198913.5,179.0,215.6
200689.4,176.0,214.7
202441.8,118.0,215.2
204116.6,148.0,202.6
205963.5,147.0,200.1
207802.9,157.0,196.9
209496.0,154.0,196.0
211218.3,124.0,196.3
212911.0,99.0,190.6
214648.3,130.0,189.4
216378.1,161.0,188.8
218134.2,127.0,189.5
219900.2,160.0,186.6
221679.4,170.0,186.5
223418.8,183.0,186.7
225103.0,156.0,185.9
226823.4,193.0,186.5
228532.5,180.0,186.5
230240.0,128.0,181.9
231923.1,177.0,185.3
233632.6,187.0,186.5
235304.7,160.0,187.0
237002.0,175.0,187.4
238737.1,159.0,188.1
240531.9,149.0,187.9
242202.0,168.0,187.9
243946.0,163.0,186.7
245624.2,192.0,187.2
247285.6,194.0,187.9
249064.9,192.0,188.0
