t_ms,cpu_pct,ram_mb
0.5,1.0,236.1
2008.4,0.0,238.6
3760.4,164.0,226.1
5530.5,254.0,230.0
7326.8,175.0,224.8
9031.6,242.0,225.7
10711.3,201.0,216.5
12451.4,216.0,211.5
14117.9,224.0,211.3
15768.1,215.0,212.3
17414.3,209.0,212.2
19063.7,173.0,212.3
20784.0,205.0,207.9
22447.5,216.0,209.1
24120.6,186.0,210.2
25801.1,207.0,208.8
27526.4,244.0,209.1
29208.0,201.0,205.4
30860.6,180.0,206.7
32598.6,232.0,204.3
34291.3,252.0,207.1
36000.5,188.0,206.7
37699.9,222.0,204.8
39402.8,199.0,205.6
41075.3,170.0,200.9
42785.6,265.0,201.0
44461.7,199.0,200.6
46142.3,244.0,201.2
47892.4,198.0,201.5
49553.9,258.0,200.1
51220.6,208.0,201.4
52952.5,186.0,201.1
54641.3,264.0,201.2
56307.3,194.0,201.4
57996.7,250.0,200.4
59721.2,217.0,201.1
61416.1,163.0,200.2
63147.7,245.0,200.2
64895.6,206.0,200.8
66584.3,188.0,200.9
68283.6,276.0,200.8
70032.0,192.0,201.5
71723.8,240.0,201.0
73496.3,191.0,201.2
75185.3,226.0,200.2
76978.5,175.0,201.0
78666.9,264.0,200.9
80355.9,188.0,193.7
82189.2,174.0,194.9
83899.8,257.0,193.8
85568.6,168.0,186.9
87280.6,281.0,187.1
88962.1,206.0,186.7
90632.4,238.0,186.0
92388.0,216.0,186.1
94085.2,201.0,188.9
95774.3,184.0,189.6
97418.2,169.0,188.3
99039.7,203.0,188.0
100707.2,223.0,188.1
102427.4,184.0,188.8
104132.8,182.0,188.8
105835.7,201.0,187.7
107557.5,214.0,188.2
109237.4,188.0,187.8
110957.9,195.0,187.4
112703.7,209.0,188.0
114415.4,192.0,188.8
116143.6,177.0,188.7
117850.9,253.0,187.9
119598.7,205.0,188.4
121293.0,180.0,188.2
122963.6,184.0,187.9
124609.7,206.0,186.0
126326.3,212.0,187.2
128051.4,193.0,188.3
129740.7,201.0,186.9
131416.2,11.0,186.9
133162.9,2.0,186.1
134887.5,2.0,189.1
136674.4,4.0,187.0
138491.4,18.0,187.0
140335.9,2.0,186.5
142076.0,2.0,186.5
143849.8,1.0,186.8
145654.8,1.0,185.8
147418.1,2.0,185.8
149157.0,3.0,186.5
150926.2,2.0,187.4
152662.7,2.0,186.4
154443.1,8.0,186.7
156229.9,7.0,186.6
157968.2,196.0,193.4
159604.4,269.0,197.8
161372.9,259.0,198.6
163094.4,227.0,197.7
164797.5,190.0,198.4
166451.2,238.0,197.0
168142.6,224.0,196.2
169899.9,189.0,196.4
171560.8,260.0,198.3
173218.7,183.0,199.2
174897.0,254.0,197.2
176603.6,189.0,195.0
178276.6,253.0,196.3
179976.7,180.0,197.3
181659.9,200.0,199.2
183347.1,259.0,198.5
185088.9,234.0,192.3
186793.6,217.0,194.5
188508.7,237.0,195.1
190151.4,211.0,197.1
191854.5,278.0,197.2
193587.4,165.0,192.2
195284.2,287.0,192.3
197007.5,205.0,192.2
198722.4,232.0,192.3
