t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.4,1,0,214.58,214.58,1964.57,121.81,0.00,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
104.4,1,0,214.58,214.58,1964.57,121.81,0.00,3.97,0.0397,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
206.6,1,0,214.58,214.58,1964.57,0.00,0.00,2.19,0.0219,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
388.2,1,0,214.58,214.58,1964.57,0.00,0.00,81.64,0.8164,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
578.1,1,0,214.58,214.58,1964.57,0.00,0.00,89.95,0.8995,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
760.3,1,1,214.58,214.58,1964.57,121.81,0.00,82.20,0.8220,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
863.0,1,1,214.58,214.58,1964.57,0.00,0.00,2.63,0.0262,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
1045.1,1,1,214.58,214.58,1964.57,0.00,0.00,82.09,0.8209,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
1226.7,1,1,214.58,214.58,1964.57,0.00,0.00,81.61,0.8161,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
1410.7,1,2,214.58,214.58,1964.57,121.81,0.00,84.03,0.8403,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
1513.0,1,2,214.58,214.58,1964.57,0.00,0.00,2.27,0.0227,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
1695.2,1,2,214.58,214.58,1964.57,0.00,0.00,82.26,0.8226,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
1877.4,1,3,214.58,214.58,1964.57,121.81,0.00,82.14,0.8214,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2037.5,1,3,214.58,214.58,1964.57,121.81,0.00,60.14,0.6014,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2138.9,1,3,214.58,214.58,1964.57,0.00,0.00,1.38,0.0138,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2320.8,1,3,214.58,214.58,1964.57,0.00,0.00,81.91,0.8191,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2502.8,1,3,214.58,214.58,1964.57,0.00,0.00,81.98,0.8198,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2686.4,1,4,214.58,214.58,1964.57,121.81,0.00,83.57,0.8357,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2787.9,1,4,214.58,214.58,1964.57,0.00,0.00,1.48,0.0148,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
2969.9,1,4,214.58,214.58,1964.57,0.00,0.00,82.06,0.8206,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
3151.1,1,4,214.58,214.58,1964.57,0.00,0.00,81.23,0.8123,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
3352.8,1,5,214.58,214.58,1964.57,121.81,0.00,101.68,1.0168,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
3455.5,1,5,214.58,214.58,1964.57,0.00,0.00,2.70,0.0270,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
3637.9,1,5,214.58,214.58,1964.57,0.00,0.00,82.38,0.8238,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
3819.5,1,5,214.58,214.58,1964.57,0.00,0.00,81.57,0.8157,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
4042.1,1,6,214.58,214.58,1964.57,121.81,0.00,122.64,1.2264,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
4144.5,1,6,214.58,214.58,1964.57,0.00,0.00,2.42,0.0242,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",2026-06-18T09:45:11.430Z,"batch-detect cv mobile n=179"
