t_ms,cpu_pct,ram_mb
2.0,1.0,173.0
1890.7,3.0,172.8
3783.6,148.0,183.8
5673.5,168.0,184.9
7456.5,144.0,184.7
9317.8,89.0,185.2
11207.1,133.0,184.9
12967.2,151.0,185.5
14785.6,105.0,184.4
16576.5,130.0,185.6
18457.6,81.0,185.9
20155.0,130.0,184.6
21946.5,146.0,185.1
23760.1,100.0,184.4
25541.2,165.0,185.1
27473.1,90.0,183.6
29274.9,148.0,184.8
31117.6,90.0,184.2
32913.2,141.0,184.8
34769.3,94.0,183.6
36515.1,142.0,184.8
38415.7,121.0,184.8
40271.2,109.0,184.7
42095.8,169.0,184.1
43948.9,103.0,184.0
45777.1,162.0,185.2
47652.6,107.0,183.6
49479.4,157.0,185.0
51374.5,89.0,181.9
53215.8,85.0,181.8
55087.5,121.0,181.5
56885.5,96.0,182.3
58684.9,122.0,183.2
60489.6,98.0,181.2
62312.0,122.0,181.7
64152.9,84.0,180.7
65882.2,125.0,181.7
67699.2,133.0,181.3
69605.8,136.0,181.9
71433.7,120.0,179.8
73291.9,173.0,179.3
75168.7,126.0,178.5
77031.8,141.0,179.1
78910.7,128.0,179.0
80779.6,145.0,179.1
82656.2,121.0,178.6
84443.3,173.0,179.1
86354.1,106.0,178.5
88144.4,156.0,179.0
89942.7,96.0,178.5
91739.5,126.0,179.0
93632.6,124.0,179.0
95430.3,120.0,178.7
97237.3,135.0,179.0
99041.7,128.0,177.7
100904.7,104.0,178.1
102755.6,161.0,177.7
104578.6,111.0,178.1
106357.0,154.0,178.2
108166.9,126.0,178.1
109986.8,149.0,178.9
111806.1,107.0,178.3
113553.7,139.0,178.8
115404.5,142.0,178.2
117306.1,110.0,178.1
119136.6,140.0,178.9
120980.1,152.0,178.9
122788.4,125.0,177.6
124528.5,156.0,178.8
126275.6,86.0,178.8
128033.1,115.0,178.7
129789.3,144.0,179.3
131630.5,113.0,178.8
133448.5,163.0,178.9
135360.1,107.0,177.7
137116.8,117.0,178.9
138969.0,137.0,177.7
140806.6,138.0,178.8
142624.1,153.0,178.8
144476.6,81.0,178.7
146256.2,100.0,179.3
148098.6,161.0,178.7
149934.7,106.0,178.7
151755.8,146.0,178.5
153638.8,119.0,178.7
155463.9,111.0,178.6
157301.9,143.0,178.0
159180.2,118.0,177.9
161058.3,143.0,178.6
163000.0,107.0,177.5
164813.1,138.0,178.6
166612.4,139.0,177.4
168413.4,76.0,177.2
170159.4,135.0,176.9
171983.5,153.0,176.8
173880.4,97.0,176.8
175659.0,149.0,176.6
177490.3,145.0,176.8
179299.5,90.0,175.6
181110.5,119.0,175.9
182979.3,141.0,176.4
184827.4,125.0,170.5
186722.5,96.0,169.7
188462.8,116.0,169.7
190211.2,123.0,170.0
192040.9,109.0,169.8
193805.7,146.0,170.2
195603.4,142.0,169.1
197391.1,133.0,170.6
199211.2,95.0,169.1
201019.3,111.0,169.9
202907.3,117.0,169.2
204736.5,164.0,169.2
206575.3,71.0,169.2
208375.4,155.0,169.6
210250.7,78.0,169.3
211984.6,136.0,169.3
213793.8,151.0,169.7
215576.5,113.0,168.4
217360.5,163.0,169.1
219262.2,116.0,169.5
221159.3,149.0,167.4
222951.4,82.0,165.3
224802.2,162.0,167.2
226643.2,85.0,167.2
228351.8,97.0,166.8
230092.7,91.0,167.8
231932.0,149.0,166.9
233789.2,121.0,166.8
235623.3,67.0,165.6
237473.4,4.0,165.6
239302.2,22.0,170.2
