t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
1.5,1,0,9.54,9.54,1077.65,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
115.0,1,0,9.54,9.54,1077.65,0.00,17.06,13.55,0.1355,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
228.6,1,0,9.54,9.54,1077.65,0.00,0.00,13.52,0.1352,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
411.9,1,0,9.54,9.54,1077.65,0.00,17.06,83.34,0.8334,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
564.1,1,0,9.54,9.54,1077.65,0.00,17.06,52.19,0.5219,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
670.8,1,0,9.54,9.54,1077.65,0.00,0.00,6.71,0.0671,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
852.5,1,0,9.54,9.54,1077.65,0.00,0.00,81.72,0.8172,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
1034.3,1,0,9.54,9.54,1077.65,0.00,0.00,81.77,0.8177,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
1216.0,1,0,9.54,9.54,1077.65,0.00,0.00,81.76,0.8176,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
1399.7,1,0,9.54,9.54,1077.65,0.00,0.00,83.63,0.8363,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
1582.8,1,0,9.54,9.54,1077.65,0.00,0.00,83.17,0.8317,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
1764.6,1,0,9.54,9.54,1077.65,0.00,0.00,81.75,0.8175,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
1946.6,1,0,9.54,9.54,1077.65,0.00,0.00,81.99,0.8199,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
2128.0,1,1,9.54,9.54,1077.65,0.00,122.38,81.41,0.8141,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
2231.9,1,1,9.54,9.54,1077.65,0.00,0.00,3.91,0.0391,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
2414.2,1,1,9.54,9.54,1077.65,0.00,122.38,82.34,0.8234,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
2553.3,1,1,9.54,9.54,1077.65,0.00,122.38,39.07,0.3907,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
2657.5,1,1,9.54,9.54,1077.65,0.00,0.00,4.14,0.0414,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
2841.5,1,1,9.54,9.54,1077.65,0.00,0.00,84.08,0.8408,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
3024.7,1,1,9.54,9.54,1077.65,0.00,0.00,83.21,0.8321,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
3208.0,1,1,9.54,9.54,1077.65,0.00,0.00,83.23,0.8323,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:46:29.595Z,"batch-detect yolo mobile n=179"
