t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.4,1,0,9.54,9.54,1077.65,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
110.1,1,0,9.54,9.54,1077.65,17.06,0.00,9.69,0.0969,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
211.6,1,0,9.54,9.54,1077.65,17.06,0.00,1.48,0.0148,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
314.7,1,0,9.54,9.54,1077.65,0.00,0.00,3.06,0.0306,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
496.0,1,0,9.54,9.54,1077.65,0.00,0.00,81.36,0.8136,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
677.2,1,0,9.54,9.54,1077.65,0.00,0.00,81.14,0.8114,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
858.2,1,0,9.54,9.54,1077.65,0.00,0.00,81.01,0.8101,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
1039.2,1,0,9.54,9.54,1077.65,0.00,0.00,81.05,0.8105,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
1220.6,1,0,9.54,9.54,1077.65,0.00,0.00,81.38,0.8138,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
1405.1,1,0,9.54,9.54,1077.65,0.00,0.00,84.46,0.8446,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
1590.2,1,0,9.54,9.54,1077.65,0.00,0.00,85.16,0.8516,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
1771.3,1,0,9.54,9.54,1077.65,0.00,0.00,81.08,0.8108,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
1952.5,1,0,9.54,9.54,1077.65,0.00,0.00,81.19,0.8119,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
2133.6,1,0,9.54,9.54,1077.65,0.00,0.00,81.05,0.8105,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
2315.2,1,0,9.54,9.54,1077.65,0.00,0.00,81.64,0.8164,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
2496.7,1,1,9.54,9.54,1077.65,122.38,0.00,81.46,0.8146,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:27:31.341Z,"batch-detect cv redmi_note13_pro_plus_20260529 n=179"
