t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.4,1,0,9.54,9.54,1077.65,0.00,17.06,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
103.8,1,0,9.54,9.54,1077.65,0.00,0.00,3.43,0.0343,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
285.2,1,0,9.54,9.54,1077.65,0.00,0.00,81.33,0.8133,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
466.5,1,0,9.54,9.54,1077.65,0.00,17.06,81.29,0.8129,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
568.4,1,0,9.54,9.54,1077.65,0.00,0.00,1.99,0.0199,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
749.4,1,0,9.54,9.54,1077.65,0.00,0.00,80.98,0.8098,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
930.4,1,0,9.54,9.54,1077.65,0.00,0.00,80.94,0.8094,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
1111.7,1,0,9.54,9.54,1077.65,0.00,0.00,81.37,0.8137,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
1293.3,1,0,9.54,9.54,1077.65,0.00,0.00,81.52,0.8152,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
1474.7,1,0,9.54,9.54,1077.65,0.00,0.00,81.41,0.8141,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-28T17:33:05.874Z,"batch-detect yolo redmi_note13_pro_plus_20260529 n=179"
