t_ms,cpu_pct,ram_mb
1055.8,0.00,0.00
2056.3,0.00,0.00
3056.7,0.00,0.00
4057.3,0.00,0.00
5057.4,0.00,0.00
6057.9,0.00,0.00
7058.5,0.00,0.00
8059.0,0.00,0.00
9059.6,0.00,0.00
10060.2,0.00,0.00
11060.6,0.00,0.00
12060.8,0.00,0.00
13061.2,0.00,0.00
14061.8,0.00,0.00
15062.2,0.00,0.00
16062.8,0.00,0.00
17063.5,0.00,0.00
18063.8,0.00,0.00
19064.4,0.00,0.00
20064.7,0.00,0.00
21065.0,0.00,0.00
22065.6,0.00,0.00
23066.3,0.00,0.00
24066.9,0.00,0.00
25067.2,0.00,0.00
26068.1,0.00,0.00
27068.7,0.00,0.00
28069.2,0.00,0.00
29069.7,0.00,0.00
30070.1,0.00,0.00
31070.5,0.00,0.00
32071.0,0.00,0.00
33071.3,0.00,0.00
34071.8,0.00,0.00
35072.0,0.00,0.00
36073.0,0.00,0.00
37073.2,0.00,0.00
38073.4,0.00,0.00
39073.6,0.00,0.00
40074.2,0.00,0.00
41074.5,0.00,0.00
42074.7,0.00,0.00
43074.9,0.00,0.00
44075.1,0.00,0.00
45075.6,0.00,0.00
46075.9,0.00,0.00
47076.2,0.00,0.00
48076.7,0.00,0.00
49077.4,0.00,0.00
50077.8,0.00,0.00
51078.4,0.00,0.00
52078.9,0.00,0.00
53079.6,0.00,0.00
54080.0,0.00,0.00
55080.3,0.00,0.00
56081.2,0.00,0.00
57082.3,0.00,0.00
58082.8,0.00,0.00
59083.5,0.00,0.00
60084.0,0.00,0.00
61084.6,0.00,0.00
62085.4,0.00,0.00
63086.0,0.00,0.00
64086.6,0.00,0.00
65087.0,0.00,0.00
66087.6,0.00,0.00
67087.8,0.00,0.00
68088.0,0.00,0.00
69088.7,0.00,0.00
70088.8,0.00,0.00
71089.2,0.00,0.00
72089.4,0.00,0.00
73089.6,0.00,0.00
74089.9,0.00,0.00
75090.7,0.00,0.00
76091.2,0.00,0.00
77091.5,0.00,0.00
78092.2,0.00,0.00
79093.0,0.00,0.00
80093.4,0.00,0.00
81095.1,0.00,0.00
82095.5,0.00,0.00
83095.8,0.00,0.00
84096.0,0.00,0.00
85097.0,0.00,0.00
86097.8,0.00,0.00
87098.2,0.00,0.00
88098.5,0.00,0.00
89099.6,0.00,0.00
90099.8,0.00,0.00
91100.1,0.00,0.00
92100.5,0.00,0.00
93100.9,0.00,0.00
94102.0,0.00,0.00
95102.8,0.00,0.00
