t_ms,cpu_pct,ram_mb
1028.7,4.70,93.77
2029.4,0.00,93.74
3030.3,7.80,100.76
4031.0,160.90,324.33
5031.5,179.70,380.70
6032.1,135.90,622.49
7032.7,148.40,611.27
8033.4,182.80,721.66
9034.2,217.20,807.00
10035.2,181.20,912.04
11035.6,187.80,982.69
12036.3,142.20,497.98
13036.8,143.80,582.86
14037.9,145.30,668.47
15038.5,125.00,710.85
16039.3,179.70,795.57
17040.2,168.80,858.10
18040.7,223.40,943.71
19041.1,192.20,1028.52
20041.8,159.40,1093.38
21042.5,200.00,543.48
22043.0,187.50,605.86
23043.5,84.40,671.16
24043.9,246.90,733.47
25044.7,184.40,818.92
26046.4,117.20,903.75
27051.7,166.10,968.62
28052.3,162.50,1032.23
29053.1,132.80,456.29
30053.4,114.10,484.44
31053.7,201.60,569.19
32054.1,193.80,631.55
33054.7,229.70,711.85
34055.5,181.20,775.04
35055.8,89.10,932.73
36056.5,137.50,1005.48
37057.2,120.30,1079.63
38057.9,143.80,516.30
39058.4,239.10,512.89
40058.8,142.20,548.38
41059.3,178.10,531.57
42060.5,132.80,549.51
43061.1,190.60,549.43
44061.6,250.00,514.39
45062.4,103.10,548.97
46062.8,164.10,550.78
47063.7,139.10,550.44
48065.0,212.50,532.67
49066.0,165.60,514.51
50067.0,183.00,582.51
51067.3,178.10,549.86
52068.0,178.10,532.35
53068.9,134.40,549.61
54069.5,171.90,532.41
55070.0,232.80,515.03
56070.7,187.50,515.16
57071.4,128.10,550.20
58072.3,204.70,550.30
59073.3,201.60,550.29
60074.4,156.20,550.30
61074.9,221.90,516.70
62075.2,185.90,517.47
63075.8,162.50,552.88
64076.7,159.40,552.21
65077.3,112.50,583.59
66077.9,145.30,552.49
67078.6,157.80,534.77
68079.1,179.70,516.84
69080.2,171.90,554.41
70081.4,104.70,555.22
71084.7,183.20,555.62
72086.5,132.80,555.81
73087.2,214.10,520.36
74087.6,164.10,556.13
75087.9,146.90,556.28
76088.6,218.80,536.00
77089.3,118.80,553.95
78092.0,192.20,553.73
79092.6,145.30,519.07
80093.1,203.10,518.88
81093.7,201.60,586.68
82094.4,159.40,554.89
83095.1,168.80,555.06
84095.8,184.40,595.48
85096.3,115.60,560.94
86096.8,192.20,561.30
87097.4,112.50,596.80
88097.7,128.10,597.50
89098.1,123.00,597.72
90098.5,167.20,564.51
91099.0,193.80,560.68
92099.5,159.40,598.16
93100.1,106.20,597.81
94100.7,132.80,598.21
95101.4,139.10,598.41
96101.7,106.20,598.53
97102.3,165.60,560.98
98103.4,160.90,559.42
99104.4,114.10,597.74
100104.6,143.80,627.34
101105.0,104.70,598.53
102105.4,215.60,561.11
103105.8,114.10,598.70
104106.4,162.50,598.24
105106.7,121.90,598.34
106107.4,162.50,560.85
107108.3,101.60,598.47
108108.7,151.60,597.93
109109.3,104.70,616.78
110109.8,128.10,600.66
111110.5,232.80,629.97
112110.9,110.90,620.22
113111.4,103.10,620.45
114111.7,142.20,617.21
115112.4,157.80,564.86
116113.3,207.80,578.71
117114.1,132.40,616.31
118114.5,148.40,580.93
119115.2,0.00,580.93
