t_ms,cpu_pct,ram_mb
1042.0,70.30,635.69
2042.7,0.00,635.79
3043.2,100.00,799.58
4043.7,223.40,871.59
5044.3,278.10,858.75
6044.8,214.10,867.21
7045.8,257.80,870.30
8046.6,303.10,870.77
9048.3,298.40,871.54
10049.1,251.60,872.30
11050.4,271.90,872.21
12052.2,296.90,870.47
13052.8,204.70,871.06
14053.5,310.90,871.43
15054.7,287.60,872.71
16055.8,232.80,869.61
17057.2,256.20,882.86
18057.9,312.50,846.52
19058.4,237.50,866.02
20059.2,237.50,871.56
21059.6,296.90,934.70
22060.3,256.20,938.82
23061.2,260.90,911.45
24061.7,285.90,939.47
25062.5,225.00,939.59
26064.2,234.40,937.75
27065.0,331.20,938.87
28065.9,315.60,945.05
29066.6,273.40,975.07
30067.1,235.90,941.46
31067.8,240.60,938.18
32068.6,301.60,942.02
33069.3,298.40,949.75
34070.6,237.10,954.26
35071.3,228.10,944.11
36072.8,287.50,938.94
37076.4,259.40,939.93
38077.3,296.90,990.06
39078.2,256.20,969.24
40079.0,245.30,944.39
41079.9,276.60,990.73
42080.9,282.80,981.02
43081.7,304.70,945.43
44082.3,228.10,985.07
45083.1,253.10,957.49
46083.9,237.50,940.08
47085.2,221.50,937.21
48086.1,295.30,972.79
49086.8,289.10,935.78
50087.5,226.60,989.90
51088.0,260.90,969.54
52089.5,306.20,980.27
53090.0,215.60,980.99
54092.4,296.90,977.45
55092.8,264.10,1035.47
56093.5,254.70,983.74
57094.4,256.20,1003.90
58095.3,231.20,969.42
59096.2,271.90,999.82
60097.0,248.40,988.67
61098.3,271.90,989.48
62099.0,284.40,1009.66
63100.7,265.60,994.88
64101.8,230.70,995.06
65102.6,285.90,1000.98
66104.0,237.50,986.40
67104.6,226.60,983.66
68105.1,256.20,1011.57
69106.3,251.60,1031.06
70107.7,267.20,994.02
71108.9,42.20,975.56
72110.2,0.00,975.43
