t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,212.55,213.83,4192.00,146.19,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
113.9,1,0,212.56,213.83,4192.00,0.00,0.00,13.83,0.1383,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
319.9,1,1,254.92,256.14,4192.00,146.19,0.00,105.97,1.0597,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
445.4,1,1,254.93,256.14,4192.00,0.00,0.00,25.47,0.2547,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
650.3,1,2,297.29,298.70,4192.00,146.19,0.00,104.90,1.0490,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
775.2,1,2,297.29,298.70,4192.00,0.00,0.00,24.91,0.2491,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
980.0,1,3,339.67,341.01,4192.00,146.19,0.00,104.82,1.0482,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
1104.1,1,3,339.67,341.01,4192.00,0.00,0.00,24.10,0.2410,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
1310.3,1,4,382.04,383.32,4192.00,146.19,0.00,106.15,1.0615,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
1435.7,1,4,382.04,383.32,4192.00,0.00,0.00,25.46,0.2546,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
1640.7,1,5,424.41,425.63,4192.00,146.19,0.00,104.97,1.0497,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
1766.6,1,5,424.41,425.63,4192.00,0.00,0.00,25.87,0.2587,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
1972.5,1,6,466.77,468.19,4192.00,146.19,0.00,105.96,1.0596,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
2097.1,1,6,466.77,468.19,4192.00,0.00,0.00,24.60,0.2460,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
2303.3,1,7,509.14,510.50,4192.00,146.19,0.00,106.21,1.0621,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T05:54:40.603Z,"batch-detect cv vivobook_fixed n=179"
