t_ms,cpu_pct,ram_mb
1029.4,121.60,1245.23
2030.1,257.80,1183.49
3030.8,203.10,1280.71
4031.5,193.80,1411.92
5032.2,235.90,1476.88
6033.1,196.90,1055.60
7034.0,212.50,1184.62
8034.5,190.60,1311.91
9035.8,234.40,1437.90
10036.4,201.60,1572.32
11037.7,200.00,1058.77
12038.8,195.30,1186.51
13039.6,215.70,1353.52
14040.3,184.40,1482.65
15041.1,201.60,1609.66
16041.4,192.20,1001.39
17042.2,203.10,1128.66
18043.1,232.80,1267.84
19043.5,234.40,1466.00
20043.9,198.40,1577.39
21044.4,192.20,995.45
22045.1,215.60,1141.57
23045.6,262.50,1288.09
24046.3,198.40,1348.70
25047.5,170.30,1433.67
26048.9,184.40,1523.31
27050.3,162.50,1579.08
28051.8,212.50,1673.60
29053.1,147.00,945.28
30055.7,237.50,1014.91
31059.5,137.00,1090.11
32060.8,210.90,1138.70
33062.1,167.20,1236.00
34063.7,137.50,1284.73
35065.2,195.30,1381.96
36068.6,214.10,1528.21
37070.7,207.80,942.74
38071.2,257.80,991.74
39073.1,234.40,994.69
40073.7,239.10,991.23
41074.5,198.40,992.38
42076.3,201.60,992.33
43079.4,190.60,992.34
44080.2,256.20,993.27
45080.9,176.60,993.57
46081.6,210.90,993.79
47082.4,229.70,994.13
48088.0,267.20,994.02
49088.9,201.60,994.75
50089.4,198.40,993.94
51089.9,175.00,994.50
52090.3,199.90,998.18
53091.4,143.80,1000.94
54092.3,201.60,1001.34
55093.8,156.20,966.87
56095.2,151.60,1001.51
57096.3,156.20,1001.57
58097.6,195.30,991.24
59099.0,153.10,1001.80
60100.5,198.40,1001.87
61105.9,132.80,999.25
62107.5,137.00,1002.01
63108.8,171.90,963.34
64109.7,220.30,1002.67
65110.4,154.70,1000.86
66110.8,228.10,1001.93
67112.0,154.70,1002.02
68113.5,200.00,1005.62
69114.5,192.20,1006.05
70115.1,179.70,1005.80
71115.6,145.30,1006.36
72116.1,178.10,1006.60
73116.4,187.50,1006.92
74119.7,196.90,1007.63
75121.7,156.20,1042.37
76123.3,130.70,1013.48
77124.7,132.80,1014.05
