t_ms,cpu_pct,ram_mb
1127.4,45.30,1155.43
2129.2,101.60,1023.86
3130.6,93.80,1072.84
4131.9,136.90,1230.50
5133.5,115.60,1214.33
6134.8,151.60,1216.21
7137.2,93.80,1257.68
8139.3,165.60,1299.78
9141.5,93.80,1344.55
10143.7,145.30,1339.10
11144.7,103.10,1384.47
12146.3,165.60,1434.76
13147.7,95.30,1422.30
14149.4,156.20,1496.24
15151.2,100.00,1541.34
16152.8,145.30,1510.87
17154.9,100.00,1556.66
18156.7,139.10,1551.02
19160.6,109.40,1597.06
20162.8,129.70,1594.72
21163.8,152.40,1636.88
22164.9,106.20,1681.69
23166.1,150.00,1677.12
24167.2,98.40,1723.20
25168.4,171.90,1721.32
26170.6,92.20,1766.09
27172.3,160.90,1255.78
28174.1,137.50,1271.41
29175.4,121.90,1294.94
30176.7,168.80,1339.47
31178.6,93.80,1340.27
32181.2,144.60,1385.20
33182.7,93.80,1429.96
34184.1,164.10,1426.36
35186.0,98.40,1256.47
36187.0,154.70,1254.23
37188.4,95.30,1299.00
38190.4,150.00,1254.32
39191.6,96.90,1299.14
40193.0,160.90,1254.40
41196.7,129.30,1299.27
42200.4,114.10,1254.13
43205.7,112.50,1298.83
44209.4,125.00,1254.25
45213.5,133.80,1299.18
46215.3,104.70,1254.54
47216.6,112.50,1253.05
48221.4,85.90,1253.05
49224.0,176.60,1157.21
50225.5,92.20,1198.68
51227.1,150.70,1198.82
52228.5,95.30,1243.58
53230.0,135.90,1254.86
54231.0,96.90,1299.62
55232.6,173.40,1283.86
56236.5,93.80,1283.86
57237.8,175.00,1255.52
58239.3,95.30,1300.28
59240.8,120.10,1199.72
60244.6,96.90,1244.29
61247.0,145.30,1200.44
62248.7,90.60,1245.21
63250.1,129.70,1256.49
64251.4,93.80,1301.25
65253.0,142.20,1285.19
66254.6,93.80,1284.44
67256.8,156.20,1256.34
68258.8,96.90,1281.84
69261.6,112.50,1256.36
70263.2,84.40,1256.36
71264.9,134.40,1252.77
72266.2,98.40,1279.86
73267.5,153.10,1257.54
74268.4,100.00,1302.29
75269.9,151.60,1257.62
76271.5,96.90,1302.38
77272.6,142.20,1257.65
78275.2,127.60,1302.41
79282.7,131.20,1257.94
80284.0,150.00,1264.71
81285.8,98.50,1259.20
82287.2,150.00,1259.42
83288.4,96.90,1304.18
84289.5,164.70,1259.48
85291.3,106.20,1304.25
86293.2,151.60,1259.08
87294.6,159.40,1259.13
88297.4,100.00,1288.31
89298.7,150.00,1259.88
90301.3,103.10,1304.39
91302.9,156.20,1259.69
92304.3,93.80,1304.45
93305.9,143.80,1260.04
94307.3,164.10,1242.02
95308.7,112.50,1259.59
96310.3,135.90,1209.27
97312.0,92.20,1259.71
98313.4,165.60,1255.31
99315.2,96.90,1294.98
100316.8,154.70,1203.28
101318.3,143.80,1235.36
102319.9,98.50,1230.75
103321.1,140.60,1246.44
104322.2,118.80,1227.13
105323.3,132.80,1246.18
106324.6,100.00,1297.40
107325.8,134.40,1246.66
108327.3,160.90,1258.07
109328.6,109.40,1246.82
110329.9,120.30,1213.13
111332.1,93.80,1246.42
112333.7,150.00,1246.32
113335.0,93.80,1226.97
114336.6,163.00,1246.25
115337.5,135.90,1240.59
116338.9,100.00,1292.50
117340.1,157.80,1243.08
118341.7,96.90,1238.77
119343.3,167.20,1239.03
120349.2,124.60,1250.00
121351.8,114.10,1238.77
122353.3,146.90,1177.53
123355.1,100.00,1238.56
124357.0,157.80,1238.11
125358.1,100.00,1218.81
126360.7,176.60,1219.02
127363.6,103.10,1289.72
128364.6,156.20,1238.50
129365.9,164.10,1194.56
130367.5,93.90,1237.39
131369.1,154.70,1237.32
132370.2,95.30,1307.24
133371.4,142.20,1238.81
134372.9,100.00,1312.87
135374.1,131.30,1242.79
136375.7,178.10,1241.95
137377.4,100.00,1298.21
138379.8,167.20,1246.93
139381.2,98.40,1317.01
140382.8,178.40,1246.81
141384.1,98.40,1315.93
142385.5,154.70,1246.81
143388.2,95.30,1317.04
144389.5,140.60,1246.46
145391.8,106.20,1301.51
146394.5,167.20,1246.21
147397.5,104.60,1315.50
148400.6,156.20,1246.17
149402.3,154.70,1291.20
150404.7,103.20,1246.27
151408.3,150.00,1179.98
152410.5,84.40,1246.69
153412.3,153.10,1246.82
154413.8,95.40,1281.79
155415.8,175.00,1246.83
156417.7,95.30,1316.16
157419.1,143.80,1246.46
158420.7,96.90,1316.38
159424.0,167.20,1246.41
160425.5,96.90,1316.26
161426.7,164.10,1246.41
162428.5,115.30,1316.12
163431.2,118.80,1246.70
164432.8,157.80,1186.41
165434.1,96.90,1246.56
166435.9,150.00,1246.17
167436.9,93.80,1315.96
168438.3,135.90,1246.39
169439.8,90.60,1316.18
170440.9,167.20,1246.96
171442.4,164.10,1211.89
172443.6,87.50,1247.15
173444.7,147.80,1247.30
174446.5,89.10,1247.30
175447.9,175.00,1247.08
176449.2,129.70,1258.36
177450.2,98.40,1246.68
178451.3,150.00,1246.91
179452.4,95.30,1316.77
180453.4,151.60,1247.33
181454.5,114.10,1317.52
182456.0,106.20,1335.10
183457.3,156.20,1334.12
184458.7,93.80,1403.76
185460.4,154.70,1334.95
186462.0,98.40,1405.92
187463.9,160.90,1337.42
188465.6,135.90,1266.29
189467.1,98.40,1337.47
190468.3,137.50,1249.04
191469.9,101.60,1249.04
192471.5,153.10,1322.68
193472.8,146.90,1398.77
194474.4,93.80,1434.81
195475.8,171.90,1326.97
196477.2,103.00,1397.70
197479.1,129.70,1336.77
198480.5,96.90,1336.77
199482.4,148.40,1248.30
200485.3,87.50,1318.50
201487.1,126.60,1248.00
202488.5,125.00,1275.62
203490.0,100.00,1336.83
204491.4,157.00,1248.89
205493.8,100.00,1248.89
206496.0,123.40,1191.12
207497.7,98.40,1249.28
208499.6,145.30,1249.56
209501.7,100.00,1249.06
210503.1,157.80,1248.93
211504.5,165.60,1272.57
212506.1,89.10,1248.85
213507.8,153.80,1249.03
214509.9,95.30,1249.03
215511.7,160.90,1249.12
216517.2,135.90,1301.06
217518.7,104.70,1249.33
218520.1,128.10,1248.76
219521.3,89.10,1248.77
220522.4,143.80,1249.21
221526.0,139.90,1229.71
222528.1,112.50,1250.24
223530.8,140.60,1197.46
224532.7,93.80,1250.48
225533.9,131.20,1339.63
226536.1,95.30,1410.80
227537.3,153.10,1356.53
228538.3,92.40,1427.57
229540.5,134.40,1338.50
230541.7,106.30,1409.46
231542.9,131.20,1338.97
232545.1,159.40,1278.80
233546.5,95.30,1250.68
234550.4,156.20,1250.50
235552.4,92.20,1302.36
236554.4,149.20,1339.02
237556.0,96.90,1410.26
238557.6,135.90,1339.04
239561.7,146.90,1314.82
240563.5,100.00,1339.38
241564.7,157.80,1339.56
242566.1,103.10,1410.73
243567.4,162.50,1339.97
244568.8,103.10,1411.29
245570.2,158.60,1339.76
246572.0,90.60,1315.58
247573.6,98.40,1343.59
248574.6,135.90,1304.97
249576.1,96.90,1400.12
250577.4,150.00,1350.68
251578.9,95.30,1425.71
252580.5,150.00,1350.79
253582.4,98.40,1425.32
254584.0,137.50,1350.31
255585.5,135.30,1272.86
256587.2,101.60,1350.48
257588.0,162.50,1350.99
258589.5,93.80,1426.02
259590.6,162.50,1351.16
260591.7,98.40,1426.18
261593.2,120.30,1351.23
262594.7,107.80,1463.04
263596.5,107.80,1257.05
264598.3,135.90,1257.00
265600.3,103.10,1304.51
266602.3,184.50,1257.26
267605.8,93.80,1318.77
268609.6,112.50,1257.39
269611.1,96.90,1257.39
270613.3,128.10,1212.19
271615.3,98.40,1257.12
272617.0,149.30,1257.12
273618.2,103.10,1332.14
274619.5,146.90,1257.24
275620.7,103.10,1332.48
276621.9,131.20,1258.04
277623.2,135.90,1178.39
278624.4,95.30,1258.20
279625.9,131.20,1258.24
280627.8,110.90,1333.27
281629.4,137.50,1257.48
282630.7,103.10,1332.52
283632.2,153.10,1257.56
284633.6,103.00,1299.86
285634.8,100.00,1258.28
286637.2,139.10,1258.36
287638.1,114.10,1258.47
288638.9,142.20,1333.63
289639.3,156.20,1271.37
290640.4,146.90,1259.25
291641.2,143.80,1259.36
292641.8,120.30,1332.55
293642.6,157.80,1337.39
294643.4,117.20,1338.26
295644.3,106.20,1413.40
296644.6,185.90,1244.85
297645.2,129.70,1244.93
298646.1,164.10,1320.00
299646.9,179.70,1178.86
300647.4,129.70,1244.98
301648.2,118.40,1320.01
302648.6,162.50,1268.18
303649.2,139.10,1248.66
304649.6,106.20,1298.75
305650.5,154.70,1394.84
306651.2,146.90,1339.73
307652.0,78.10,1257.51
308653.3,0.00,1257.51
