t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.0,1,0,213.36,214.10,4192.00,0.00,146.19,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
119.6,1,0,213.37,214.10,4192.00,0.00,0.00,19.60,0.1960,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
323.6,1,0,213.37,214.10,4192.00,0.00,0.00,104.00,1.0400,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
524.6,1,0,213.37,214.10,4192.00,0.00,0.00,100.99,1.0099,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
726.9,1,0,213.37,214.10,4192.00,0.00,0.00,102.29,1.0229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
929.5,1,1,255.74,256.41,4192.00,0.00,0.00,102.62,1.0262,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
1134.3,1,1,255.74,256.41,4192.00,0.00,0.00,104.83,1.0483,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
1338.3,1,1,255.74,256.41,4192.00,0.00,0.00,104.00,1.0400,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
1540.2,1,1,255.74,256.41,4192.00,0.00,0.00,101.80,1.0180,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
1741.1,1,1,255.74,256.41,4192.00,0.00,0.00,100.92,1.0092,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:17:50.980Z,"batch-detect yolo vivobook_fixed n=179"
