t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.0,1,0,213.31,214.10,4192.00,0.00,146.19,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
104.0,1,0,213.32,214.10,4192.00,0.00,146.19,3.99,0.0399,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
284.6,1,0,213.32,214.10,4192.00,0.00,0.00,80.55,0.8055,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
467.0,1,0,213.32,214.10,4192.00,0.00,0.00,82.46,0.8246,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
648.9,1,0,213.32,214.10,4192.00,0.00,0.00,81.88,0.8188,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
834.0,1,0,213.32,214.10,4192.00,0.00,0.00,85.08,0.8508,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
1018.3,1,0,213.32,214.10,4192.00,0.00,0.00,84.27,0.8427,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
1204.7,1,0,213.32,214.10,4192.00,0.00,0.00,86.41,0.8641,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
1386.8,1,1,255.69,256.41,4192.00,0.00,0.00,82.14,0.8214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
1570.5,1,1,255.69,256.41,4192.00,0.00,0.00,83.63,0.8363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
1752.2,1,1,255.69,256.41,4192.00,0.00,0.00,81.71,0.8171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-17T06:35:06.824Z,"batch-detect yolo vivobook_fixed n=179"
