t_ms,cpu_pct,ram_mb
1033.6,57.80,1713.89
2035.3,139.10,1863.64
3036.6,135.90,1697.68
4037.3,128.10,1783.49
5041.6,173.80,1843.67
6046.8,143.70,1928.70
7048.5,134.40,2069.91
8051.2,109.40,2112.59
9057.7,33.30,2112.54
10120.8,85.10,1577.90
11130.9,70.70,1577.37
12168.2,13.40,1610.12
13182.8,84.40,1616.56
14185.6,128.10,1699.12
15187.2,150.00,1741.71
16188.6,142.20,1802.15
17190.1,193.80,1865.94
18190.9,121.90,1951.73
19191.5,157.80,2039.92
20201.5,126.20,2123.33
21203.3,156.20,1565.75
22204.1,132.80,1722.33
23207.2,120.40,1756.25
24210.6,104.60,1821.67
25212.9,151.60,1884.25
26216.7,128.10,1921.82
27222.6,148.50,2042.07
28224.2,135.30,2131.20
29228.7,165.70,1567.94
30230.4,160.90,1555.91
31233.6,156.30,1649.91
32237.5,168.80,1733.95
33239.6,111.00,1901.59
34240.8,104.70,1990.41
35252.5,92.20,2108.93
36253.4,131.30,2213.40
37254.6,112.50,1617.54
38255.4,92.20,1672.24
39256.0,111.00,1734.79
40256.9,129.20,1868.59
41257.8,162.50,2007.76
42258.5,107.80,2133.13
43259.4,126.60,2164.89
44260.3,107.80,2262.51
45261.1,123.50,1615.36
46264.5,136.00,1645.18
47267.2,146.90,1640.53
48268.2,128.10,1672.76
49271.5,128.80,1628.37
50291.8,129.70,1628.22
51292.4,139.10,1628.35
52293.2,142.20,1588.40
53295.1,128.10,1658.50
54299.8,156.30,1606.25
55322.5,86.40,1623.73
56325.0,121.90,1629.32
57326.2,104.70,1654.65
58326.9,86.00,1625.43
59327.4,182.80,1632.48
60328.4,150.00,1639.41
61331.6,134.40,1565.41
62333.2,110.90,1645.98
63334.7,126.50,1657.84
64335.7,124.60,1626.52
65336.4,142.20,1587.93
66337.0,121.90,1589.80
67337.7,132.80,1630.62
68338.5,131.20,1624.62
69354.2,103.00,1626.50
70355.7,123.40,1591.42
71356.8,142.20,1668.06
72357.3,104.70,1663.16
73358.0,109.40,1626.43
74358.9,92.20,1591.34
75364.0,125.00,1689.39
76368.2,110.80,1670.94
77369.4,95.40,1689.77
78370.3,100.00,1689.64
79371.1,153.10,1662.62
80372.1,128.10,1651.40
81373.5,109.40,1726.52
82377.8,103.10,1708.04
83378.9,93.80,1689.38
84381.1,110.90,1688.73
85382.4,115.30,1690.10
86384.2,128.20,1652.33
87389.6,101.60,1672.40
88390.9,118.80,1707.73
89392.0,120.30,1737.63
90405.4,120.10,1692.77
91406.8,142.30,1693.15
92407.5,137.50,1693.31
93408.3,90.60,1689.00
94409.2,121.90,1652.20
95411.7,121.90,1731.04
96412.2,117.20,1724.60
97413.7,103.00,1690.34
98415.3,107.80,1690.50
99416.7,117.30,1652.88
100418.4,125.00,1709.22
101424.1,96.90,1690.93
