t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
1.4,1,0,212.80,213.59,4192.00,128.44,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
111.1,1,0,212.81,213.59,4192.00,128.44,0.00,9.67,0.0967,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
251.3,1,0,212.81,213.59,4192.00,0.00,0.00,40.16,0.4016,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
451.3,1,1,255.24,256.40,4192.00,128.44,0.00,100.05,1.0005,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
626.0,1,1,255.24,256.40,4192.00,128.44,0.00,74.68,0.7468,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
733.2,1,1,255.24,256.40,4192.00,0.00,0.00,7.19,0.0719,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
922.5,1,1,255.24,256.40,4192.00,0.00,0.00,89.29,0.8929,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
1127.9,1,2,297.61,298.71,4192.00,128.44,0.00,105.41,1.0541,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
1238.5,1,2,297.62,298.71,4192.00,0.00,0.00,10.64,0.1064,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
1445.3,1,3,339.98,341.02,4192.00,128.44,0.00,106.81,1.0681,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/149.0.0.0 Safari/537.36",2026-06-18T22:24:15.262Z,"batch-detect yolocorner vivobook_fixed n=179"
