t_ms,cpu_pct,ram_mb
1114.1,57.80,1626.93
2115.4,165.60,1435.27
3116.9,151.60,1457.18
4118.3,143.00,1602.17
5119.9,43.80,1631.86
6121.0,106.20,1679.57
7122.2,65.60,1717.19
8124.3,76.60,1735.39
9125.5,82.80,1768.20
10126.6,60.90,1812.02
11128.3,106.20,1855.47
12129.2,57.80,1895.45
13130.4,68.80,1939.88
14131.8,87.50,1983.25
15133.1,78.10,2027.15
16134.0,76.60,2067.74
17135.1,66.20,1732.25
18136.7,70.30,1606.38
19138.6,82.80,1649.24
20140.3,70.30,1691.18
21141.6,71.90,1717.02
22142.6,56.20,1760.47
23143.9,81.30,1803.38
24145.1,90.60,1846.09
25146.4,78.10,1888.08
26147.8,76.60,1930.48
27149.0,62.50,1973.22
28150.1,60.00,2015.59
29151.5,73.40,2050.74
30153.0,81.20,1864.14
31155.8,96.90,1585.80
32158.3,84.40,1586.18
33160.5,76.60,1586.24
34162.1,76.60,1586.57
35163.4,73.40,1584.11
36164.3,57.80,1573.68
37165.6,64.60,1562.83
38167.6,73.40,1563.38
39168.9,85.90,1563.71
40170.2,65.60,1564.53
41171.6,71.90,1565.00
42173.0,90.60,1565.65
43174.7,73.40,1566.12
44177.0,62.50,1566.66
45178.2,67.20,1567.20
46180.2,89.10,1632.07
47182.0,87.70,1602.01
48183.5,93.80,1593.45
49186.0,81.20,1593.63
50187.8,90.60,1593.71
51188.7,75.00,1593.71
52190.1,70.30,1593.85
53191.4,70.30,1593.92
54192.4,82.80,1587.69
55193.4,73.40,1587.79
56195.5,67.20,1585.88
57197.2,86.10,1587.48
58198.6,75.00,1637.63
59199.9,93.80,1668.02
60201.1,64.10,1668.22
61202.3,104.70,1668.97
62205.6,87.50,1669.59
63207.7,85.90,1669.70
64210.1,77.00,1643.64
65213.7,75.00,1643.86
66215.6,106.20,1643.88
67217.0,89.10,1644.10
68218.5,79.70,1644.57
69219.9,67.20,1644.98
70220.8,76.60,1645.36
71222.0,89.10,1645.66
72223.2,87.50,1646.21
73224.3,81.20,1646.67
74226.0,101.60,1646.79
75227.4,85.90,1647.04
76229.1,69.20,1714.20
77230.7,71.90,1680.39
78232.6,65.60,1680.04
79234.1,71.90,1679.49
80235.2,78.10,1679.36
81236.7,76.60,1679.49
82237.8,92.20,1679.60
83239.0,98.40,1679.48
84240.3,71.90,1679.44
85241.6,84.40,1679.83
86242.8,98.40,1677.34
87243.7,81.50,1677.29
88245.1,101.60,1677.36
89246.3,92.20,1677.48
90247.7,79.70,1677.44
91250.1,84.40,1670.91
92251.1,70.30,1663.29
93254.1,71.90,1645.85
94257.5,73.40,1646.38
95258.8,100.00,1646.52
96260.1,83.10,1646.79
97261.8,75.00,1647.00
98263.3,76.60,1647.25
99264.4,73.40,1647.54
100265.8,68.80,1679.33
101268.0,93.80,1679.82
102269.3,98.40,1679.77
103270.6,84.40,1679.76
104271.8,82.80,1680.05
105272.9,79.70,1680.17
106274.5,82.80,1680.02
107275.8,69.20,1680.60
108277.2,84.40,1680.92
109278.2,73.40,1681.02
110280.1,75.00,1731.16
111281.2,73.40,1678.73
112282.3,64.10,1678.81
113283.9,65.60,1675.20
114285.2,75.00,1724.68
115289.7,71.90,1679.02
116291.4,58.40,1711.05
117292.6,70.30,1714.83
118293.7,85.90,1694.70
119297.0,78.10,1648.97
120298.5,60.90,1688.78
121303.8,84.40,1699.91
122305.3,73.40,1696.71
123306.6,84.70,1650.79
124308.0,64.10,1676.97
125310.2,67.20,1683.89
126312.2,90.60,1680.96
127313.4,46.90,1730.73
128314.6,67.20,1684.72
129315.8,65.60,1684.36
130317.1,75.00,1680.99
131317.9,75.00,1730.71
132321.8,68.80,1684.40
133322.8,64.60,1684.39
134324.1,67.20,1681.05
135325.4,65.60,1731.22
136328.7,85.90,1684.80
137331.4,78.10,1723.91
138332.8,78.10,1731.97
139333.9,78.10,1684.67
140336.1,73.40,1638.22
141337.7,66.20,1677.71
142339.4,81.20,1688.75
143341.4,68.80,1705.42
144342.5,82.80,1727.08
145343.8,81.20,1727.24
146345.0,71.90,1741.89
147346.4,75.00,1727.78
148348.4,60.90,1759.25
149350.0,81.20,1749.76
150351.2,81.20,1729.78
151352.9,70.70,1708.42
236013.7,0.30,1734.12
237033.5,20.00,1682.70
238037.5,68.80,1725.70
239039.4,65.70,1707.57
240041.2,87.70,1694.79
241046.2,82.80,1695.35
242047.3,89.10,1710.73
243049.2,109.40,1707.61
244050.5,68.80,1707.68
245051.5,70.30,1707.44
246052.6,112.50,1707.54
247053.7,106.20,1678.47
248055.5,106.20,1702.43
249057.1,95.40,1704.47
250058.2,96.90,1709.18
251059.5,90.60,1713.24
252061.1,98.40,1711.64
253062.8,87.50,1711.57
254064.1,93.80,1711.63
255066.8,93.80,1711.78
256068.1,98.40,1711.96
257069.2,114.10,1682.82
258070.5,90.60,1712.23
259071.8,86.10,1712.31
260074.9,71.90,1712.44
261076.7,87.50,1712.57
262078.6,90.60,1712.75
263079.5,12.50,1712.75
264081.1,92.20,1712.82
265082.6,89.10,1713.02
266083.8,101.60,1715.06
267085.0,100.00,1708.98
268088.0,32.30,1713.79
269089.2,89.10,1713.81
270090.3,78.10,1713.96
271091.6,85.90,1714.02
272092.8,84.40,1667.02
