t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,212.80,213.34,4096.00,122.38,0.00,0.00,0.0000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
130.2,1,0,212.80,213.34,4096.00,0.00,0.00,30.07,0.3007,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
312.9,1,0,212.81,213.34,4096.00,0.00,0.00,82.66,0.8266,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
496.5,1,0,212.81,213.34,4096.00,0.00,0.00,83.69,0.8369,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
678.8,1,0,212.81,213.34,4096.00,0.00,0.00,82.23,0.8223,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
860.4,1,1,255.17,255.90,4096.00,0.00,0.00,81.59,0.8159,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
1042.3,1,1,255.17,255.90,4096.00,0.00,0.00,81.88,0.8188,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
1223.5,1,1,255.17,255.90,4096.00,0.00,0.00,81.22,0.8122,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
1405.3,1,1,255.18,255.90,4096.00,0.00,0.00,81.84,0.8184,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
1587.2,1,2,297.55,298.46,4096.00,0.00,0.00,81.87,0.8187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
1768.7,1,2,297.55,298.46,4096.00,0.00,0.00,81.52,0.8152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
1949.6,1,2,297.55,298.46,4096.00,0.00,0.00,80.87,0.8087,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
2131.0,1,3,339.92,340.77,4096.00,122.38,0.00,81.39,0.8139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
2285.9,1,3,339.93,340.77,4096.00,0.00,0.00,54.94,0.5494,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
2467.8,1,3,339.93,340.77,4096.00,0.00,0.00,81.94,0.8194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
2648.7,1,3,339.93,340.77,4096.00,0.00,0.00,80.89,0.8089,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
2830.6,1,4,382.30,383.08,4096.00,122.38,0.00,81.89,0.8189,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
2933.0,1,4,382.30,383.08,4096.00,0.00,0.00,2.34,0.0234,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
3114.8,1,4,382.30,383.08,4096.00,0.00,0.00,81.78,0.8178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
3296.6,1,4,382.30,383.08,4096.00,0.00,0.00,81.86,0.8186,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
3478.4,1,5,424.67,425.64,4096.00,122.38,0.00,81.79,0.8179,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
3579.7,1,5,424.67,425.64,4096.00,0.00,0.00,1.28,0.0128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
3762.3,1,5,424.67,425.64,4096.00,0.00,0.00,82.59,0.8259,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
3943.6,1,5,424.67,425.64,4096.00,0.00,0.00,81.33,0.8133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
4125.7,1,6,466.71,467.70,4096.00,0.00,0.00,82.09,0.8209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
4308.2,1,6,466.71,467.70,4096.00,0.00,0.00,82.47,0.8247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
4490.1,1,6,466.71,467.70,4096.00,0.00,0.00,81.94,0.8194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
4672.3,1,6,466.71,467.70,4096.00,0.00,0.00,82.20,0.8220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
4854.3,1,7,509.08,510.01,4096.00,122.38,0.00,81.97,0.8197,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
5014.5,1,7,509.08,510.01,4096.00,0.00,0.00,60.19,0.6019,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
5196.3,1,7,509.08,510.01,4096.00,0.00,0.00,81.86,0.8186,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
5377.1,1,7,509.08,510.26,4096.00,0.00,0.00,80.81,0.8081,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
5558.3,1,8,550.95,552.30,4096.00,122.38,0.00,81.11,0.8111,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
5744.1,1,8,550.95,552.30,4096.00,0.00,0.00,85.81,0.8581,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
5926.1,1,8,550.95,552.30,4096.00,0.00,0.00,82.07,0.8207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
6107.2,1,8,550.95,552.30,4096.00,0.00,0.00,81.05,0.8105,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
6287.8,1,9,85.60,86.89,4096.00,122.38,0.00,80.66,0.8066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
6403.6,1,9,85.60,86.89,4096.00,0.00,0.00,15.73,0.1573,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
6586.1,1,9,85.60,86.89,4096.00,0.00,0.00,82.56,0.8256,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
6768.9,1,9,85.60,86.89,4096.00,0.00,0.00,82.74,0.8274,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
6950.0,1,10,127.96,129.20,4096.00,122.38,0.00,81.11,0.8111,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
7067.4,1,10,127.96,129.20,4096.00,0.00,0.00,17.39,0.1739,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
7249.5,1,10,127.96,129.20,4096.00,0.00,0.00,82.17,0.8217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
7432.4,1,10,127.96,129.20,4096.00,0.00,0.00,82.86,0.8286,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
7614.1,1,11,170.32,171.52,4096.00,122.38,0.00,81.67,0.8167,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
7757.7,1,11,170.32,171.52,4096.00,0.00,0.00,43.59,0.4359,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
7938.9,1,11,170.33,171.52,4096.00,0.00,0.00,81.26,0.8126,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
8120.8,1,11,170.33,171.52,4096.00,0.00,0.00,81.89,0.8189,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
8305.2,1,12,212.69,213.83,4096.00,0.00,0.00,84.34,0.8434,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
8487.0,1,12,212.69,213.83,4096.00,0.00,0.00,81.87,0.8187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
8669.6,1,12,212.69,213.83,4096.00,0.00,0.00,82.59,0.8259,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
8851.8,1,13,255.05,256.39,4096.00,122.38,0.00,82.14,0.8214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
9028.9,1,13,255.05,256.39,4096.00,0.00,0.00,77.17,0.7717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
9210.9,1,13,255.05,256.39,4096.00,0.00,0.00,81.94,0.8194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
9391.9,1,13,255.05,256.39,4096.00,0.00,0.00,81.00,0.8100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
9572.7,1,14,297.41,298.70,4096.00,122.38,0.00,80.83,0.8083,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",2026-06-05T16:26:22.116Z,"batch-detect cv vivobook_hp_20260605 n=179"
